STT;Vị trí xếp giá;Mã xếp giá;Số lượng;Nhan đề;Nhan đề song song;Tác giả;Thể loại;Tập;Năm XB;Lần XB;Nhà XB;Ngôn ngữ;Mã quốc tế;;;
104;020;020-003-4;1;続・日本の宗教と芸能ー戦国時代から安土桃山時代へ;-;今井雅晴;Tổng hợp chung;0;2005;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
105;020;020-003-5;1;室町時代人物群像;-;今井雅晴;Tổng hợp chung;0;2004;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
106;020;020-003-6;1;鎌倉時代の人物群像;-;今井雅晴;Tổng hợp chung;0;2003;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
107;020;020-003-7;1;イスタンブール・ボアジチ大学の日本語講座;-;今井雅晴;Tổng hợp chung;0;2002;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
108;020;020-003-8;1;スロベニア・リュブリャーナの筑波大学・日本語・日本文化学類の出張講義ー世界の中の筑波大学II;-;今井雅晴;Tổng hợp chung;0;2006;0;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
109;020;020-004-1;1;Nihon-Kenkyu No.37 March, 2008;日本研究第37集H20/03 月;International research center for Japanese Studies;Tổng hợp chung;0;2009;0;国際日本文化研究センター;Japanese;09150900;;;
110;020;020-004-2;1;Nihon-Kenkyu No.38 September, 2008;日本研究第38集H20/09月;International research center for Japanese Studies;Tổng hợp chung;0;2008;1;国際日本文化研究センター;Japanese;09150900;;;
111;020;020-004-3;1;Nihon-Kenkyu No.39 March, 2009;日本研究第39集H21/03 月;International research center for Japanese Studies;Tổng hợp chung;0;2009;0;国際日本文化研究センター;Japanese;09150900;;;
112;020;020-004-4;1;Nihon-Kenkyu No.40 November, 2009;日本研究第40集H21/11月;International research center for Japanese Studies;Tổng hợp chung;0;2009;1;国際日本文化研究センター;Japanese;09150900;;;
113;020;020-004-5;1;Nihon-Kenkyu No.41 March, 2010;日本研究第41集H22/03月;International research center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Japanese;09150900;;;
114;020;020-004-6;1;Nihon-Kenkyu No.49 March, 2014;日本研究第49集;International research center for Japanese Studies;Tổng hợp chung;0;2014;1;国際日本文化研究センター;Japanese;09150900;;;
115;020;020-004-7;1;Nihon-Kenkyu No.50 September, 2014;日本研究第50集平成26年9月;International research center for Japanese Studies;Tổng hợp chung;0;2014;1;国際日本文化研究センター;Japanese;09150900;;;
116;020;020-004-8;1;Nihon-Kenkyu No.52 March, 2016;日本研究第52集;International research center for Japanese Studies;Tổng hợp chung;0;2016;1;国際日本文化研究センター;Japanese;09150900;;;
117;020;020-004-9;1;Nihon-Kenkyu No.53 June, 2016;日本研究第53集;International research center for Japanese Studies;Tổng hợp chung;0;2016;1;国際日本文化研究センター;Japanese;09150900;;;
118;020;020-004-10;1;Nihon-Kenkyu No.54 January, 2017;日本研究第54集;International research center for Japanese Studies;Tổng hợp chung;0;2017;1;国際日本文化研究センター;Japanese;09150900;;;
119;020;020-004-11;1;Nihon-Kenkyu No.56 October, 2017;日本研究第56集;International research center for Japanese Studies;Tổng hợp chung;0;2017;1;国際日本文化研究センター;Japanese;09150900;;;
120;020;020-004-12;1;Nihon-Kenkyu No.57 March, 2018;日本研究第57集;International research center for Japanese Studies;Tổng hợp chung;0;2018;1;国際日本文化研究センター;Japanese;09150900;;;
121;020;020-005-1;1;Monumenta Nipponica Volume 64-Number 1-Spring 2009;-;Nhiều tác giả;Tổng hợp chung;0;2009;1;Sophia university;English;270741;;;
122;020;020-005-2;1;Monumenta Nipponica Volume 64-number 2-Autumn 2009;-;Nhiều tác giả;Tổng hợp chung;0;2009;1;Sophia university;Japanese;00270741;;;
123;020;020-005-3;1;Monumenta Nipponica Volume 78-number 1-Autumn 2023;-;Nhiều tác giả;Tổng hợp chung;0;2023;1;Sophia university;English;00270741;;;
124;020;020-005-4;1;Monumenta Nipponica Volume 78-number 2- 2023;0;Nhiều tác giả;Tổng hợp chung;0;2023;1;Sophia university;English;00270741;;;
125;020;020-006-1;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.20 2008;0;International research Center for Japanese Studies;Tổng hợp chung;0;2008;1;Nichibunken;English;09150986;;;
126;020;020-006-2;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.21 2009;0;International research Center for Japanese Studies;Tổng hợp chung;0;2009;1;Nichibunken;English;0;;;
127;020;020-006-3;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.27 2014;0;International research Center for Japanese Studies;Tổng hợp chung;0;2014;1;Nichibunken;English;09150986;;;
128;020;020-006-4;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.28 2015;0;International research Center for Japanese Studies;Tổng hợp chung;0;2015;1;Nichibunken;English;09150986;;;
129;020;020-006-5;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.29 2016;0;International research Center for Japanese Studies;Tổng hợp chung;0;2016;1;Nichibunken;English;09150986;;;
130;020;020-006-6;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.30 2017;0;International research Center for Japanese Studies;Tổng hợp chung;0;2017;1;Nichibunken;English;09150986;;;
131;020;020-006-7;1;Nichibunken Japan review-Journal of the international research center for Japanese studies No.31 2017;0;International research Center for Japanese Studies;Tổng hợp chung;0;2017;1;Nichibunken;English;09150986;;;
132;020;020-007;1;Globalisationa regionalisation and national policy Systems;Proceedings of the second anglo - Japanese Academy, 7-11 January 2006;-;Tổng hợp chung;0;2006;1;International center for comparative Law and Politics, Graduate School of Law and Politics, The University of Tokyo;English;-;;;
133;020;020-008-1;1;Cairo Conference on Japanese Studies - INTERNATIONAL SYMPOSIUM IN EGYPT 2006;0;International research Center for Japanese Studies;Tổng hợp chung;0;2006;1;International Research Center for Japanese Studies;Dual lingual;9152822;;;
134;020;020-008-2;1;日本の朝鮮・台湾支配と植民地官僚;Study of Bureaucracy of Japanese Colonial Empire;International research Center for Japanese Studies;Tổng hợp chung;0;2007;1;International Research Center for Japanese Studies;Dual lingual;09152822;;;
135;020;020-008-3;1;Interpretations of Japanese Culture　View from Russia and Japan - INTERNATIONAL SYMPOSIUM IN RUSSIA 2007;0;International research Center for Japanese Studies;Tổng hợp chung;0;2007;1;International Research Center for Japanese Studies;English;09152822;;;
136;020;020-008-4;1;Cultural Exchange between Brazil and Japan - INTERNATIONAL SYMPOSIUM IN BRAZIL 2008;日本・ブラジル文化交流;International research Center for Japanese Studies;Tổng hợp chung;0;2008;1;International Research Center for Japanese Studies;Dual lingual;09152822;;;
137;020;020-008-5;1;創立20周年記念国際シンポジウム　日本文化研究の過去・現在・未来―新たな地平を開くために－　;Japanese Studies: Past, Present and Future　Breaking New Ground for Research in Japanese Culture;International research Center for Japanese Studies;Tổng hợp chung;0;2007;1;International Research Center for Japanese Studies;Japanese;09152823;;;
138;020;020-008-6;1;"Rethinking ""Japanese Studies"" from Practices in the Nordic Region - OVERSEAS SYMPOSIUM IN COPENHAGEN 2012";「日本研究」再考―北欧の実践から;International research Center for Japanese Studies;Tổng hợp chung;0;2012;1;International Research Center for Japanese Studies;Dual lingual;9152822;;;
139;020;020-008-7;1;Globalization, Localization, and Japanese Studies in the Asia-Pacific Region　Volume 1 - INTERNATIONAL SYMPOSIUM IN SYDNEY 2003;アジア太平洋地域のおけるグローバリゼイション、ローカリゼイションと日本文化　Volume 1;International research Center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Dual lingual;9152822;;;
140;020;020-008-8;1;Globalization, Localization, and Japanese Studies in the Asia-Pacific Region　Volume 2 - INTERNATIONAL SYMPOSIUM IN SINGAPORE 2004;アジア太平洋地域のおけるグローバリゼイション、ローカリゼイションと日本文化　Volume 2;International research Center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Dual lingual;9152822;;;
141;020;020-008-9;1;Globalization, Localization, and Japanese Studies in the Asia-Pacific Region　Volume 3 - INTERNATIONAL SYMPOSIUM IN HONGKONG 2005;アジア太平洋地域のおけるグローバリゼイション、ローカリゼイションと日本文化　Volume 3;International research Center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Dual lingual;9152822;;;
142;020;020-008-10;2;国際シンポジウム35　2008　東アジア近代における概念の再編成;The Reformulation of concepts and Intellectual Systems in Modern East Asia;International research Center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Dual lingual;9152822;;;
143;020;020-008-11;1;国際シンポジウム36　2009　いま構築されるアジアのジェンダー：人間再生産のグローバルな再編成;Asian Gender under Construction: Global Reconfiguration of Human Reproduction;International research Center for Japanese Studies;Tổng hợp chung;0;2010;1;国際日本文化研究センター;Dual lingual;9152822;;;
144;020;020-008-12;1;国際シンポジウム45　2013　怪異・妖怪文化の伝統と創造―ウチとソトの視点から;The Tradition and Creation of Yōkai Culture: From the Viewpoint of Inside and Outside;International research Center for Japanese Studies;Tổng hợp chung;0;2015;1;国際日本文化研究センター;Dual lingual;09152822;;;
145;020;020-008-13;1;海外シンポジウム　2014　新領域・次世代の日本研究;New Vistas: Japanese Studies for the Next Generation - INTERNATIONAL SYMPOSIUM 2014 IN KYOTO;International research Center for Japanese Studies;Tổng hợp chung;0;2016;1;国際日本文化研究センター;Dual lingual;978-4901558853;;;
146;020;020-008-14;1;国際シンポジウム48　2015　国際研究集会「万国羨博覧会と人間の歴史」報告書;"International Research Symposium Proceedings: ""Expo and Human History"" - THE 48TH INTERNATIONAL RESEARCH SYMPOSIUM";International research Center for Japanese Studies;Tổng hợp chung;0;2015;1;国際日本文化研究センター;Dual lingual;09152822;;;
147;020;020-008-15;1;国際シンポジウム49　「心身／身心」と「環境」の哲学―東アジアの伝統的概念の再検討とその普遍化の試み―;The Philosophy of Mind, Body, and Environment: Reexamination of Traditional East Asian Concepts and Attempts to Universalize Them - THE 49TH INTERNATIONAL RESEARCH SYMPOSIUM;International research Center for Japanese Studies;Tổng hợp chung;0;2018;1;国際日本文化研究センター;Dual lingual;09152822;;;
