STT;Khoá;Nhóm;Mã lớp HP;tenmon;Số lượng;Số lượng;SLSV;Mã GV;Mã GV;Tuần;khoa dạy;malop;Tên giảng viên;Thứ 2;Thứ 3;Thứ 4;Thứ 5;Thứ 6;Thứ 7;CN
74;22;06;101316025202206;Mạng truyền thông công nghiệp;59;59;0;10528;10528;"22-27;31-40";101;22N06(CDT3);Nguyễn Thị Kim Trúc;;3-4,H205;;;;;
75;22;06;101317025202206;Tư duy công nghệ và thiết kế kỹ thuật;59;59;0;10963;10963;"22-27;31-40";101;22N06(CDT3);Lê Hoài Nam;;;;;6-7,H205;;
76;22;06;118075325202206;Quản lý Dự án;59;59;0;10788;10788;"22-27;31-40";118;22N06(CDT3);Trần Thị Hoàng Giang;1-2,F307;;;;;;
77;22;06;118093325202206;Quản trị học;59;59;0;10967;10967;"22-27;31-40";118;22N06(CDT3);Nguyễn Đặng Hoàng Thư;;;;4-5,F106;;;
78;22;06A;101317025202206A;Tư duy công nghệ và thiết kế kỹ thuật (Giảng dạy tiếng anh);25;25;0;10963;10963;"22-27;31-40";101;22N06(CDT3);Lê Hoài Nam;;6-7,B207;;;;;
79;22;06A;101319025202206A;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;10680;10680;"22-27;31-40";101;22N06(CDT3);Võ Như Thành;3-5,A143;;;;;;
80;22;06B;101319025202206B;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;11681;11681;"22-27;31-40";101;22N06(CDT3);Đoàn Lê Anh;;;;;;1-3,F309;
81;22;07;123258025202207;Xử lý ảnh số;37;37;0;10861;10861;"22-27;31-40";123;22N07(ES);Hồ Phước Tiến;;6-7,C114;;;;;
82;22;07;123280025202207;Thực hành nghề nghiệp;30;30;0;"10473
";"10473
";33-37;123;22N07(ES);"Nguyễn Thị Anh Thư
";;1-4,C114;;;;;
83;22;07;123281025202207;Chuyên đề công nghệ 4.0;37;37;0;10473;10473;"22-27;31-40";123;22N07(ES);Nguyễn Thị Anh Thư;;;;;9-10,C114;;
84;22;07;123282025202207;TT Chuyên đề công nghệ 4.0;30;30;0;"10473
";"10473
";;123;22N07(ES);"Nguyễn Thị Anh Thư
";;;;;;;
85;22;07;123283025202207;Thực tập;37;37;0;"10888
";"10888
";46-48;123;22N07(ES);"Nguyễn Lê Hòa
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
86;22;07;123353025202207;Cơ cấu chấp hành và cảm biến trong hệ thống ĐK;37;37;0;10888;10888;"22-27;31-40";123;22N07(ES);Nguyễn Lê Hòa;;;;;6-8,C114;;
87;22;07;123355025202207;Trí tuệ nhân tạo trong kỹ thuật;37;37;0;10542;10542;"22-27;31-40";123;22N07(ES);Phạm Văn Tuấn;;;;;;1-3,C114;
88;22;07;123357025202207;Mạng thiết bị;37;37;0;10229;10229;"22-27;31-40";123;22N07(ES);Lê Quốc Huy;;;;1-3,C114;;;
89;22;07;123359025202207;Xử lý tín hiệu số;37;37;0;10861;10861;"22-27;31-40";123;22N07(ES);Hồ Phước Tiến;;8-10,C114;;;;;
90;22;07;123377025202207;Hệ thống trên vi mạch;37;37;0;10106;10106;"22-27;31-40";123;22N07(ES);Nguyễn Văn Cường;1-2,C114;;;;;;
91;22;07;123378025202207;TH Hệ thống trên vi mạch (0.5TC);20;20;0;"10106
";"10106
";;123;22N07(ES);"Nguyễn Văn Cường
";;;;;;;
92;22;07A;123259025202207A;TH Xử lý ảnh số;20;20;0;"11319
";"11319
";39-41;123;22N07(ES);"Thái Vũ Hiền
";;;;;;7-10,C213A;
93;22;07A;123279025202207A;PBL 5: TH nghiên cứu, đổi mới sáng tạo và KN;33;33;0;10473;10473;"22-27;31-40";123;22N07(ES);Nguyễn Thị Anh Thư;;;3-4,C114;;;;
94;22;07A;123295025202207A;TH Hệ thống năng lượng điện;20;20;0;"10304
";"10304
";39-41;123;22N07(ES);"Nguyễn Thế Lực
";;;7-10,I105;;;;
95;22;07A;123354025202207A;TH Cơ cấu chấp hành và cảm biến trong hệ thống ĐK;20;20;0;"10888
";"10888
";;123;22N07(ES);"Nguyễn Lê Hòa
";;;;;;;
96;22;07A;123356025202207A;TH Trí tuệ nhân tạo trong kỹ thuật;25;25;0;"10542
";"10542
";35-37;123;22N07(ES);"Phạm Văn Tuấn
";;;;7-10,C213;;;
97;22;07A;123358025202207A;TH Mạng thiết bị;20;20;0;"11598
";"11598
";38-40;123;22N07(ES);"Nguyễn Huỳnh Nhật Thương
";7-10,C213B;;;;;;
98;22;07A;123360025202207A;TH Xử lý tín hiệu số;20;20;0;"11319
";"11319
";33-35;123;22N07(ES);"Thái Vũ Hiền
";;;7-10,C213A;;;;
99;22;07B;123259025202207B;TH Xử lý ảnh số;20;20;0;"11319
";"11319
";36-38;123;22N07(ES);"Thái Vũ Hiền
";;;;;;7-10,C213A;
100;22;07B;123279025202207B;PBL 5: TH nghiên cứu, đổi mới sáng tạo và KN;33;33;0;10473;10473;"22-27;31-40";123;22N07(ES);Nguyễn Thị Anh Thư;;;1-2,C114;;;;
101;22;07B;123295025202207B;TH Hệ thống năng lượng điện;20;20;0;"10304
";"10304
";38-40;123;22N07(ES);"Nguyễn Thế Lực
";;;;7-10,I105;;;
102;22;07B;123354025202207B;TH Cơ cấu chấp hành và cảm biến trong hệ thống ĐK;20;20;0;"10888
";"10888
";;123;22N07(ES);"Nguyễn Lê Hòa
";;;;;;;
103;22;07B;123356025202207B;TH Trí tuệ nhân tạo trong kỹ thuật;25;25;0;"10542
";"10542
";32-34;123;22N07(ES);"Phạm Văn Tuấn
";;;;7-10,C213;;;
104;22;07B;123358025202207B;TH Mạng thiết bị;20;20;0;"11598
";"11598
";38-40;123;22N07(ES);"Nguyễn Huỳnh Nhật Thương
";;1-4,C213B;;;;;
105;22;07B;123360025202207B;TH Xử lý tín hiệu số;20;20;0;"11319
";"11319
";36-38;123;22N07(ES);"Thái Vũ Hiền
";;;7-10,C213A;;;;
106;22;08;123280025202208;Thực hành nghề nghiệp;30;30;0;"10473
";"10473
";32-36;123;22N08(ECE_DT);"Nguyễn Thị Anh Thư
";;;;;1-4,C114;;
107;22;08;123281025202208;Chuyên đề công nghệ 4.0;30;30;0;10473;10473;"22-27;31-40";123;22N08(ECE_DT);Nguyễn Thị Anh Thư;;;;;6-7,C113;;
108;22;08;123282025202208;TT Chuyên đề công nghệ 4.0;30;30;0;"10473
";"10473
";;123;22N08(ECE_DT);"Nguyễn Thị Anh Thư
";;;;;;;
109;22;08;123283025202208;Thực tập;16;16;0;"10402
";"10402
";46-48;123;22N08(ECE_DT);"Nguyễn Quang Như Quỳnh
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
110;22;08;123294025202208;Hệ thống năng lượng điện;65;65;0;10371;10371;"22-27;31-40";123;22N08(ECE_DT);Nguyễn Hồng Việt Phương;;;;4-5,C114;;;
111;22;08;123295025202208;TH Hệ thống năng lượng điện;16;16;0;"10304
";"10304
";38-40;123;22N08(ECE_DT);"Nguyễn Thế Lực
";7-10,I105;;;;;;
112;22;08;123313025202208;Mạng thiết bị;16;16;0;10229;10229;"22-27;31-40";123;22N08(ECE_DT);Lê Quốc Huy;;4-5,C113;;;;;
113;22;08;123314025202208;TH Mạng thiết bị;16;16;0;"11598
";"11598
";38-40;123;22N08(ECE_DT);"Nguyễn Huỳnh Nhật Thương
";;;;7-10,C213B;;;
114;22;08;123337025202208;Thiết bị bán dẫn;16;16;0;11490;11490;"22-27;31-40";123;22N08(ECE_DT);Nguyễn Thị Thu Trang;;;;1-3,C113;;;
115;22;08;123338025202208;TH Thiết bị bán dẫn;16;16;0;"11319
";"11319
";39-41;123;22N08(ECE_DT);"Thái Vũ Hiền
";;;;;;1-4,C213A;
116;22;08;123339025202208;Hệ thống trên vi mạch;16;16;0;10106;10106;"22-27;31-40";123;22N08(ECE_DT);Nguyễn Văn Cường;3-5,C113;;;;;;
117;22;08;123340025202208;TH Hệ thống trên vi mạch (1TC);16;16;0;"10106
";"10106
";37-41;123;22N08(ECE_DT);"Nguyễn Văn Cường
";;;;;1-4,C113;;
118;22;08;123341025202208;Hệ thống điều khiển;16;16;0;10888;10888;"22-27;31-40";123;22N08(ECE_DT);Nguyễn Lê Hòa;;;8-10,C113;;;;
119;22;08;123342025202208;TH Hệ thống điều khiển;16;16;0;"10888
";"10888
";;123;22N08(ECE_DT);"Nguyễn Lê Hòa
";;;;;;;
120;22;08;123343025202208;Giới thiệu về Robot;16;16;0;10130;10130;"22-27;31-40";123;22N08(ECE_DT);Lê Tiến Dũng;;1-2,C113;;;;;
121;22;08;123344025202208;TH Giới thiệu về Robot;16;16;0;"11070
";"11070
";35-37;123;22N08(ECE_DT);"Nguyễn Hữu Lập Trường
";7-10,C115;;;;;;
122;22;09;123283025202209;Thực tập;10;10;0;"10402
";"10402
";46-48;123;22N09(ECE_VT);"Nguyễn Quang Như Quỳnh
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
123;22;09;123284025202209;Lý thuyết thông tin;10;10;0;11469;11469;"22-27;31-40";123;22N09(ECE_VT);Võ Duy Phúc;;;;;8-10,C113;;
124;22;09;123285025202209;Truyền thông không dây;10;10;0;10814;10814;"22-27;31-40";123;22N09(ECE_VT);Lê Phương Mai;;;;1-3,C213B;;;
125;22;09;123286025202209;Ước lượng và phát triển tín hiệu;10;10;0;10106;10106;"22-27;31-40";123;22N09(ECE_VT);Nguyễn Văn Cường;;8-10,C113;;;;;
126;22;09;123287025202209;TH Lý thuyết thông tin;10;10;0;"11319
";"11319
";39-41;123;22N09(ECE_VT);"Thái Vũ Hiền
";;1-4,C213A;;;;;
127;22;09;123288025202209;TH Truyền thông không dây (0.5TC);10;10;0;"10814
";"10814
";;123;22N09(ECE_VT);"Lê Thị Phương Mai
";;;;;;;
128;22;09;123289025202209;TH Ước lượng và phát hiện tín hiệu;10;10;0;"10106
";"10106
";;123;22N09(ECE_VT);"Nguyễn Văn Cường
";;;;;;;
129;22;09;123290025202209;Chuyên đề trí tuệ nhân tạo và dữ liệu lớn;10;10;0;10165;10165;"22-27;31-40";123;22N09(ECE_VT);Trần Thị Minh Hạnh;;;;;;3-5,C113;
130;22;09;123291025202209;TH Chuyên đề trí tuệ nhân tạo và dữ liệu lớn;10;10;0;"10165
";"10165
";;123;22N09(ECE_VT);"Trần Thị Minh Hạnh
";;;;;;;
131;22;09;123292025202209;Phân tích và thiết kế anten;10;10;0;10106;10106;"22-27;31-40";123;22N09(ECE_VT);Nguyễn Văn Cường;;6-7,C113;;;;;
132;22;09;123293025202209;TH Phân tích và thiết kế anten;10;10;0;"10106
";"10106
";;123;22N09(ECE_VT);"Nguyễn Văn Cường
";;;;;;;
133;22;09;123295025202209;TH Hệ thống năng lượng điện;10;10;0;"10304
";"10304
";38-40;123;22N09(ECE_VT);"Nguyễn Thế Lực
";1-4,I105;;;;;;
134;22;10;102037325202210;Xử lý ảnh;52;52;0;10215;10215;"26-27;31-40";102;22N10(T_DT_CNPM);Huỳnh Hữu Hưng;;;;;1-4,F406;;
135;22;10;102395025202210;Trí tuệ nhân tạo nâng cao;52;52;0;11185;11185;"26-27;31-40";102;22N10(T_DT_CNPM);Nguyễn Năng Hùng Vân;;;7-10,H103;;;;
136;22;10;102396025202210;Khoa học dữ liệu nâng cao;52;52;0;10085;10085;"26-27;31-40";102;22N10(T_DT_CNPM);Trương Ngọc Châu;;;;1-4,F302;;;
137;22;10;102398025202210;Xử lý ngôn ngữ tự nhiên;52;52;0;10658;10658;"26-27;31-40";102;22N10(T_DT_CNPM);Nguyễn Văn Hiệu;;;1-4,F409;;;;
138;22;10;102400025202210;Mô hình hóa hình học;52;52;0;10253;10253;"26-27;31-40";102;22N10(T_DT_CNPM);Nguyễn Tấn Khôi;;1-4,F409;;;;;
139;22;10;102401025202210;Khai phá dữ liệu Web;52;52;0;10085;10085;"26-27;31-40";102;22N10(T_DT_CNPM);Trương Ngọc Châu;1-4,E1.102;;;;;;
140;22;10;118255025202210;Kinh tế và quản lý doanh nghiệp;52;52;0;10362;10362;"26-27;31-40";118;22N10(T_DT_CNPM);Lê Thị Kim Oanh;8-10,E1.103;;;;;;
141;22;10A;102402025202210A;PBL 7: Dự án chuyên ngành 2;30;30;0;10125;10125;"26-27;31-40";102;22N10(T_DT_CNPM);Ninh Khánh Duy;;;;7-10,C203;;;
142;22;10B;102402025202210B;PBL 7: Dự án chuyên ngành 2;30;30;0;10253;10253;"26-27;31-40";102;22N10(T_DT_CNPM);Nguyễn Tấn Khôi;;;;;;7-10,C203;
143;22;15;102037325202215;Xử lý ảnh;44;44;0;10215;10215;"26-27;31-40";102;22N15(T_KHDL);Huỳnh Hữu Hưng;;1-4,F110;;;;;
144;22;15;102395025202215;Trí tuệ nhân tạo nâng cao;44;44;0;11185;11185;"26-27;31-40";102;22N15(T_KHDL);Nguyễn Năng Hùng Vân;;;2-5,B304;;;;
145;22;15;102396025202215;Khoa học dữ liệu nâng cao;44;44;0;10085;10085;"26-27;31-40";102;22N15(T_KHDL);Trương Ngọc Châu;7-10,A141;;;;;;
146;22;15;102398025202215;Xử lý ngôn ngữ tự nhiên;44;44;0;10658;10658;"26-27;31-40";102;22N15(T_KHDL);Nguyễn Văn Hiệu;;;7-10,A135;;;;
147;22;15;102399025202215;Lưu trữ và xử lý dữ liệu lớn;60;60;0;10126;10126;"26-27;31-40";102;22N15(T_KHDL);Trịnh Công Duy;;7-10,E1.101;;;;;
148;22;15;102400025202215;Mô hình hóa hình học;44;44;0;10253;10253;"26-27;31-40";102;22N15(T_KHDL);Nguyễn Tấn Khôi;;;;;1-4,A143;;
149;22;15;102401025202215;Khai phá dữ liệu Web;44;44;0;10085;10085;"26-27;31-40";102;22N15(T_KHDL);Trương Ngọc Châu;;;;7-10,A136;;;
150;22;15A;102402025202215A;PBL 7: Dự án chuyên ngành 2;25;25;0;10162;10162;"26-27;31-40";102;22N15(T_KHDL);Lê Thị Mỹ Hạnh;;;;;;7-10,C204;
151;22;15B;102402025202215B;PBL 7: Dự án chuyên ngành 2;25;25;0;11729;11729;"26-27;31-40";102;22N15(T_KHDL);"Đồng Ngọc Nguyên Thịnh
";;;;;;1-4,C204;
152;22;17;103039325202217;Động cơ tăng áp;41;41;0;10333;10333;"22-27;31-40";103;22N17(C4A);Trần Văn Nam;8-9,H103;;;;;;
153;22;17;103436025202217;Ô nhiễm khí xả động cơ;41;41;0;10128;10128;"22-27;31-40";103;22N17(C4A);Dương Việt Dũng;6-7,B206;;;;;;
