as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_category,procurement_method,project_global_practice,wb_contract_number,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,supplier_contract_amount_usd,borrower_contract_reference_number,review_type
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1541770,DEP-SPC-S5-G05 (Lot 5.1): Supply of substation electrical equipment and materials for Cu Lao Dung 110kV substation,2016-08-22,POWER CONSULTANT INVESTMENT AND CONSTRUCTION JSC NO. 5,Viet Nam,VN,419385.060000,08-16/SPC-PCC5/DEP-SPC-S5-G05,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1541771,DEP-SPC-S5-G05 (Lot 5.2): Supply of substation electrical equipment and materials for Dong Phu 110kV substation,2016-08-22,POWER CONSULTANT INVESTMENT AND CONSTRUCTION JSC NO. 5,Viet Nam,VN,465529.610000,8-16/SPC-PCC5/DEP-SPC-S5-G05.2,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1541782,DEP-SPC-S5-G05 (Lot 5.3): Supply of substation electrical equipment and materials for Ca Mau 2 110kV substation and tee-off,2016-08-22,POWER CONSULTANT INVESTMENT AND CONSTRUCTION JSC NO. 5,Viet Nam,VN,499098.070000,8-16/SPC-PCC5/DEP-SPC-S5-G05.3,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,International Competitive Bidding,Energy and Extractives,1541825,"SMTU-G10: Procurement of steel 
towers",2016-07-11,THANH LONG JOINT STOCK COMPANY,Viet Nam,VN,2913098.440000,SMTU-G10,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P124584,Vietnam- FCPF REDD Readiness,Consultant Services,Consultant Qualification  Selection,"Agriculture, Fishing and Forestry",1541837,"TV-CQS-11 Assessment of forest & carbon stock changes, identification of major driving forces, and potential opportunities and optio ns for two prioritized SFEs to become REDD and PES service provider",2016-08-16,INDUFOR OY,Finland,FI,139289.950000,TV-CQS-11,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P124584,Vietnam- FCPF REDD Readiness,Consultant Services,Consultant Qualification  Selection,"Agriculture, Fishing and Forestry",1541837,"TV-CQS-11 Assessment of forest & carbon stock changes, identification of major driving forces, and potential opportunities and optio ns for two prioritized SFEs to become REDD and PES service provider",2016-08-16,ASEAN DEVELOPMENT AND MANAGEMENT CONSULTANCY COMPANY LIMITED,Viet Nam,VN,139289.950000,TV-CQS-11,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P106235,Da Nang-Quang Ngai Expressway Development Project,Consultant Services,Quality And Cost-Based Selection,Transportation,1541843,CSM-4: Consulting services for Capacity improvement for Inspectorate Department of MOT,2016-08-19,PRICEWATERHOUSE COOPERS (VIETNAM) LIMITED,Viet Nam,VN,549483.000000,CSM-4,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P106235,Da Nang-Quang Ngai Expressway Development Project,Consultant Services,Quality And Cost-Based Selection,Transportation,1541843,CSM-4: Consulting services for Capacity improvement for Inspectorate Department of MOT,2016-08-19,ISC INVESTMENT AND CONSULTING COMPANY LIMITED,Viet Nam,VN,549483.000000,CSM-4,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113493,Second Northern Mountains Poverty Reduction Project,Consultant Services,Consultant Qualification  Selection,"Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration",1541850,CQS consulting services package C21/CPO: Procurement Audit for CDBC,2016-08-02,ERNST & YOUNG,Viet Nam,VN,178472.100000,C21/ CPO,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541944,TU-G01 (Lot 1): Supply of 500/220/35kV - 900MVA and 220/110/22kV - 250MVA power transformers,2016-08-18,"CHINA ENERGY ENGINEERING GROUP GUANGDONG ELECTRIC POWER DESIGN INSTITUTE CO., LT",China,CN,5500000.000000,TU-G01 (LOT 1),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541945,TU-G01 (Lot 2): Supply of 500kV Shunt Reactor,2016-08-26,COMPUTER - COMMUNICATION - CONTROL 3C,Viet Nam,VN,1023363.870000,TU-G01 (LOT 2),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541945,TU-G01 (Lot 2): Supply of 500kV Shunt Reactor,2016-08-26,TELEMATIC JSC,Viet Nam,VN,1023363.870000,TU-G01 (LOT 2),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541946,"TU-G01 (Lot 3): Supply of 220kV, 110kV and 35kV current limiting reactors",2016-08-26,COMPUTER - COMMUNICATION - CONTROL 3C,Viet Nam,VN,2206023.230000,TU-G01 (LOT 3),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541946,"TU-G01 (Lot 3): Supply of 220kV, 110kV and 35kV current limiting reactors",2016-08-26,TELEMATIC JSC,Viet Nam,VN,2206023.230000,TU-G01 (LOT 3),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113904,Mekong Delta Region Urban Upgrading Project,Consultant Services,Quality And Cost-Based Selection,"Education;Transportation;Water, Sanitation and Waste Management;Public Administration",1541949,Consultants Services for National Urban Database System,2016-08-29,EK GEOGRAPHIC INFORMATION TECHNOLOGY JSC,Viet Nam,VN,109015.180000,08/HD-BQL-MDR,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113904,Mekong Delta Region Urban Upgrading Project,Consultant Services,Quality And Cost-Based Selection,"Education;Transportation;Water, Sanitation and Waste Management;Public Administration",1541949,Consultants Services for National Urban Database System,2016-08-29,CMC SOFTWARE SOLUTIONS CO. LTD.,Viet Nam,VN,109015.180000,08/HD-BQL-MDR,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113904,Mekong Delta Region Urban Upgrading Project,Consultant Services,Quality And Cost-Based Selection,"Education;Transportation;Water, Sanitation and Waste Management;Public Administration",1541949,Consultants Services for National Urban Database System,2016-08-29,ARCHITECTURE CONSTRUCTION SOUTH CO.,Viet Nam,VN,109015.180000,08/HD-BQL-MDR,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P119090,Hospital Waste Management Support Project,Consultant Services,Single Source Selection,"Health;Water, Sanitation and Waste Management",1541996,Provision of Project Financial management Software,2016-08-12,CO PHAN CONG NGHE DVTM ANA,Viet Nam,VN,59941.720000,CPMU/C3/G/08,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P117394,"Fostering Innovation through Research, Science and Technology (FIRST)",Goods,National Competitive Bidding,Education,1542012,CLRRI - Supply of equipment for rice seek processing,2016-08-30,AN GIANG MECHANICAL JOINT STOCK COMPANY,Viet Nam,VN,192315.640000,FIRST/CLRRI/G07,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,International Competitive Bidding,Energy and Extractives,1542017,PLCL2-G03: Supply of electrical equipment and materials for transmission line and extension bays,2016-07-11,VIETNAM ELECTRIC CABLE CORP,Viet Nam,VN,2838529.850000,PLCL2-G03,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542247,Provision of ICU and cardiology equipment for district hospitals,2016-11-29,CONG TY CO PHAN THIET BI Y TE NAM TRUNG,Viet Nam,VN,2420749.440000,ICB2.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542284,Procurement of Diagnostic Imaging Equipment for Provincial Hospitals,2016-11-01,TIEN DAI PHAT COMPANY LIMITED,Viet Nam,VN,2700638.690000,ICB4.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542335,Provision of Obstetrics and Pediatrics equipment for provinces,2016-11-01,HA CAO MEDICAL EQUIPMENT COMPANY LIMITED,Viet Nam,VN,1417920.000000,ICB1.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542335,Provision of Obstetrics and Pediatrics equipment for provinces,2016-11-01,TNT TRADING AND TECHNOLOGY COMPANY LIMITED,Viet Nam,VN,1417920.000000,ICB1.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1542379,"SMTU-G09: Procurement of optical ground wires, insulators, fitting & accessories",2016-09-15,GUANGZHOU XINYUAN HENGYE POWER TRANSMISSION DEVICE CO. LTD.,China,CN,480977.350000,SMTU-G09,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1542379,"SMTU-G09: Procurement of optical ground wires, insulators, fitting & accessories",2016-09-15,"SHENZHEN SDG INFORMATION CO., LTD.",China,CN,480977.350000,SMTU-G09,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P118783,Vietnam Managing Natural Hazards Project,Consultant Services,Quality And Cost-Based Selection,"Transportation;Water, Sanitation and Waste Management;Public Administration",1542425,Dredging and regulating flow into shelter storm port Cua Sot in Ha Tinh Province,2016-09-01,A CHAU CONSTRUCTION AND CONSULTANCY,Viet Nam,VN,22767.300000,WB5/CS-HT/TV1-2016,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P118783,Vietnam Managing Natural Hazards Project,Consultant Services,Quality And Cost-Based Selection,"Transportation;Water, Sanitation and Waste Management;Public Administration",1542425,Dredging and regulating flow into shelter storm port Cua Sot in Ha Tinh Province,2016-09-01,HAI PHONG CONSTRUCTION WORKS DESIGN CO,Viet Nam,VN,22767.300000,WB5/CS-HT/TV1-2016,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P128072,VN - Central Highlands Poverty Reduction Project (CHPov),Goods,Request for Bids,"Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration",1542429,"Procurement of Vehicles for CPO, PPMUs/DPMUs",2016-10-06,AUTOMOBILE NEWWAY JOINT STOCK COMPANY,Viet Nam,VN,506460.000000,06/TW.HP4.G2.TBI.2016,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P128072,VN - Central Highlands Poverty Reduction Project (CHPov),Goods,Request for Bids,"Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration",1542429,"Procurement of Vehicles for CPO, PPMUs/DPMUs",2016-10-06,TOYOTA LONG BIEN COMPANY LIMITED,Viet Nam,VN,506460.000000,06/TW.HP4.G2.TBI.2016,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113493,Second Northern Mountains Poverty Reduction Project,Consultant Services,Consultant Qualification  Selection,"Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration",1542491,Consulting Service,2016-09-05,AN VIET AUDITING COMPANY LIMITED,Viet Nam,VN,70271.920000,C23/CPO,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P103238,Vietnam Renewable Energy Development Project,Consultant Services,Single Source Selection,Energy and Extractives,1542499,Collect data of biomass resource and planning in the South of Vietnam,2016-09-20,NONG LAM UNIVERSITY,Viet Nam,VN,99896.500000,PACKAGE 2.2.4.B3,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Consultant Services,Individual Consultant Selection,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1542501,CPMU: National Procurement Consultant,2016-09-01,TRAN THANH DINH,Viet Nam,VN,126484.710000,CONTRACT NO: 02-IC 80,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113949,VN - Mekong Delta Water Management for Rural Dev,Civil Works,National Competitive Bidding,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1542518,"Extension of upgraded network and water measure meters and devices: water supply stations in Thanh Thoi Thuan, Hoa Tu 2 and Tan Long , Kiet Nhat B, Kiet Lap A, Vinh Tan, Vinh Tien.",2016-08-30,HOA THANG CONSTRUCTION AND COMMERCE LTD. CO,Viet Nam,VN,587180.010000,ST-C3-CW1-GD2,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113949,VN - Mekong Delta Water Management for Rural Dev,Civil Works,National Competitive Bidding,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1542554,"Dredging and construction of 04 new roads, drainages for 185 HH and Improvement of irrigation system",2016-09-12,HONG LAM CIVIL CONSTRUCTION JSC,Viet Nam,VN,459820.780000,CM-CW-PILOT IN CA MAU,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1542673,TU-G02: Supply of Electrical Equipment and Materials for Substation and Connections for 500kV Tan Uyen substation and Connections su bproject.,2016-09-23,COMIN ASIA PTE. LTD.,Singapore,SG,2049428.020000,TU-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1542673,TU-G02: Supply of Electrical Equipment and Materials for Substation and Connections for 500kV Tan Uyen substation and Connections su bproject.,2016-09-23,"COMIN VIETNAM LTD.,",Viet Nam,VN,2049428.020000,TU-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1542673,TU-G02: Supply of Electrical Equipment and Materials for Substation and Connections for 500kV Tan Uyen substation and Connections su bproject.,2016-09-23,ABB AB (SWEDEN),Sweden,SE,2049428.020000,TU-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542925,Provision of Operating & Surgery equipment for provincial and district hospitals,2016-11-03,VIET QUANG COMPANY LIMITED,Viet Nam,VN,1706098.150000,ICB3.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P122629,North East and Red River Delta Regions Health System Support Project,Goods,Request for Bids,Health,1542925,Provision of Operating & Surgery equipment for provincial and district hospitals,2016-11-03,THANH HOA MEDICAL MATERIALS EQUIPMENT JOINT STOCK COMPANY,Viet Nam,VN,1706098.150000,ICB3.15,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P118610,Project Preparation Technical Assitance Facility Project,Consultant Services,Quality And Cost-Based Selection,"Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1542963,CS-FS: FEASIBILITY STUDY FOR VIETNAM SOUTHERN REGION WATERWAYS AND TRANSPORT LOGISTICS CORRIDOR PROJECT,2016-09-22,EGIS INTERNATIONAL - REGIONAL OFFICE,Thailand,TH,2815939.340000,CS-FS,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Consultant Services,Individual Consultant Selection,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1542995,Technical consultant,2016-09-16,PHAM VAN QUYNH,Viet Nam,VN,100320.000000,IC26,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113949,VN - Mekong Delta Water Management for Rural Dev,Civil Works,National Competitive Bidding,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1543030,"Levelling rice field with laser - Pilot in Vi Thuy, Hau Giang province",2016-10-03,DAT VIET MECHANIZED CONSTRUCTION JOINT STOCK COMPANY,Viet Nam,VN,649121.720000,COMP1-HG1-CW-PILOT FOR PILOT VI,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Consultant Services,Individual Consultant Selection,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1543099,CPMU: National M& E Consultant,2016-09-30,DINH XUAN TUNG,Viet Nam,VN,134431.570000,CONTRACT NO: 03_IC81,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P118783,Vietnam Managing Natural Hazards Project,Consultant Services,Consultant Qualification  Selection,"Transportation;Water, Sanitation and Waste Management;Public Administration",1543130,"Survey and design of construction drawings and cost estimate of Phase 2 subproject ""Reparing, upgrading Nui Mot reservoir"" in Binh D inh province",2016-08-01,CTCP TU VAN XAY DUNG THUY LOI 3,Viet Nam,VN,127992.200000,01/2016/HD-TV,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P118783,Vietnam Managing Natural Hazards Project,Goods,National Competitive Bidding,"Transportation;Water, Sanitation and Waste Management;Public Administration",1543148,Package C2-TB4,2016-10-05,LASI TECHNIQUE AND SCIENCE MATERIALS JSC,Viet Nam,VN,2206267.520000,C2-TB4,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Goods,Request for Quotations,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1543189,Procurement of office equipment,2016-08-16,CÔNG TY TNHH DVTM TRỌNG HIẾU,Viet Nam,VN,42940.000000,HH30,Post
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Consultant Services,Individual Consultant Selection,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1543191,Individual Technical consultant,2016-09-15,NGUYỄN QUANG THỤ,Viet Nam,VN,68640.000000,IC08,Post
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1543201,CLCL-G11: Supply of electrical equipment and materials for transmission line and extension bays,2016-10-25,VIETNAM ELECTRIC CABLE CORP,Viet Nam,VN,1456968.190000,CLCL-G11,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1543201,CLCL-G11: Supply of electrical equipment and materials for transmission line and extension bays,2016-10-25,GUANGZHOU XINYUAN HENGYE POWER TRANSMISSION DEVICE CO. LTD.,China,CN,1456968.190000,CLCL-G11,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P145055,Sustainable Agriculture Transformation Project,Consultant Services,Individual Consultant Selection,"Agriculture, Fishing and Forestry;Industry, Trade and Services",1543215,PPMU Gia Lai-Technical Consultant (IC 16),2016-10-01,PHAN MINH TRIET,Viet Nam,VN,57463.120000,HOP DONG SO: 16/HD_TV_IC,Post
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P103238,Vietnam Renewable Energy Development Project,Consultant Services,Consultant Qualification  Selection,Energy and Extractives,1543263,Package 2.2.1: Consultant Service for Development of Integrated Renewable Energy Database,2016-10-12,SPATIAL AF - CONSULT SWITZERLAND LTD,Switzerland,CH,134402.500000,PACKAGE 2.2.1,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P103238,Vietnam Renewable Energy Development Project,Consultant Services,Consultant Qualification  Selection,Energy and Extractives,1543263,Package 2.2.1: Consultant Service for Development of Integrated Renewable Energy Database,2016-10-12,VIDAGIS'S COMPANY,Viet Nam,VN,134402.500000,PACKAGE 2.2.1,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1543299,SUPPLY AND INSTALL REMOTE METERING READING AND MANAGEMENT,2016-10-12,HUU HONG MACHINERY JSC,Viet Nam,VN,955890.730000,DEP-HNPC-CTF-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1543299,SUPPLY AND INSTALL REMOTE METERING READING AND MANAGEMENT,2016-10-12,SHENZHEN STAR INSTRUMENT CO. LTD,China,CN,955890.730000,DEP-HNPC-CTF-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1543299,SUPPLY AND INSTALL REMOTE METERING READING AND MANAGEMENT,2016-10-12,VIETNAM DATA AND TELECOMMUNICATION JSC,Viet Nam,VN,955890.730000,DEP-HNPC-CTF-G02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1543307,500WHN-G05: Supply and Delivery of Primary Equipment for 500kV West Hanoi Substation,2016-11-01,SIEMENS LIMITED COMPANY,Viet Nam,VN,1766740.490000,500WHN-G05,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P110693,Vietnam New Model University Project,Civil Works,Request for Bids,Education,1543311,1st NCB contract for VGU Campus - Construction of General Infrastructure,2016-10-17,CONG TY CO PHAN SANG BAN MAI,Viet Nam,VN,4866863.870000,VGU-W-03-CP1A (NCB),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P110693,Vietnam New Model University Project,Civil Works,Request for Bids,Education,1543311,1st NCB contract for VGU Campus - Construction of General Infrastructure,2016-10-17,TONG CONG TY XAY DUNG BACH DANG CTCP,Viet Nam,VN,4866863.870000,VGU-W-03-CP1A (NCB),Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113493,Second Northern Mountains Poverty Reduction Project,Civil Works,National Competitive Bidding,"Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration",1543355,"NCB civil works package P.MC/NCB.01 in Muong Cha district, Dien Bien sub-project.",2016-10-19,DIEN BIEN HYDROELECTRICITY AND IRRIGATION CONSTRUCTION JOINT STOCK COMPANY,Viet Nam,VN,202362.340000,P.MC/NCB.01 _DIEN BIEN,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P110477,Vietnam Renewable Energy Development Project,Consultant Services,Single Source Selection,Energy and Extractives,1543394,Contract No. 1_ Development of Monitoring Report (MR) for Component Project Activities (CPAs),2016-10-17,VECC ENERGY AND CLIMATE CHANGE CONSULTING LIMITED COMPANY,Viet Nam,VN,28166.000000,NO.1 CDM/MR,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P110477,Vietnam Renewable Energy Development Project,Consultant Services,Single Source Selection,Energy and Extractives,1543395,Contract No. 2_Designated Operational Entity (DOE) for 3rd Verification CDM Program Activities (CPAs),2016-10-17,TUV NORD CERT GMBH,Germany,DE,28961.940000,CONTRACT NO.1/ CDM - DOE,Prior
