DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1973-0047-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,Binh Dinh,,,No,No,No,,,Kph,,,,1973,11,10,1973,11,10,100,,150000,,150000,,,,,,,15.17145282,,2003-07-01,2023-09-25
1975-0028-VNM,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,,VNM,Viet Nam,South-eastern Asia,Asia,Near Saigon,,,No,No,No,,,,,,,1975,4,4,1975,4,4,172,,,,,,,,,,,18.38912907,,2003-07-01,2023-09-25
1977-0088-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Sarah,VNM,Viet Nam,South-eastern Asia,Asia,Haiphong,,,No,No,No,,,Kph,,,,1977,7,22,1977,7,22,,,1000,,1000,,,,,,,20.7098325,,2003-07-01,2023-09-25
1978-0105-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Mekong Delta,,,No,No,No,,,Km2,,,,1978,8,,1978,8,,74,,4000000,79000,4079000,,,,,,,22.29019504,,2003-07-01,2023-09-25
1978-0244-VNM,Yes,nat-bio-inf-inf,Natural,Biological,Infestation,Infestation (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1978,9,,1978,9,,,,,,,,,,,,,22.29019504,,2003-07-01,2023-09-25
1980-0068-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Joe (n°4),VNM,Viet Nam,South-eastern Asia,Asia,"Ha Bac, Hai Phong, Hai Hung, Guang Ninh provinces",,,No,No,No,,,Kph,,,,1980,7,23,1980,7,23,132,210,6460000,164500,6624710,,,,,,,28.15888663,,2003-07-01,2023-09-25
1980-0090-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ruth (N°6),VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Nghe Tinh, Ha Ham Ninh provinces",,,No,No,No,,144,Kph,,,,1980,9,15,1980,9,15,176,174,8527000,500000,9027174,,,,,,,28.15888663,,2003-07-01,2023-09-25
1980-0106-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh provinces",,,No,No,No,,,Km2,,,,1980,11,,1980,11,,94,,628000,,628000,,,,,,,28.15888663,,2003-07-01,2023-09-25
1981-0179-VNM,Yes,tec-ind-poi-poi,Technological,Industrial accident,Poisoning,Poisoning,,Warfarin,VNM,Viet Nam,South-eastern Asia,Asia,Saigon,,,No,No,No,,,m3,,,,1981,,,1981,,,177,564,,,564,,,,,,,31.06902495,,2003-07-01,2023-09-25
1982-0112-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Nancy (N°7),VNM,Viet Nam,South-eastern Asia,Asia,"Nghe Tinh, Thanh Hoa Provinces",,,No,No,No,,,Kph,,,,1982,10,18,1982,10,18,70,290,1300000,,1300290,,,,,,,32.97399781,,2003-07-01,2023-09-25
1983-0077-VNM,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,VNM,Viet Nam,South-eastern Asia,Asia,Central,,,No,No,No,,,Kph,,,,1983,5,,1983,5,,76,,,,,,,,,,,34.03326363,,2003-07-01,2023-09-25
1983-0125-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Herbert (N°7), Kim (N°9), Lex (N°10)",VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1983,9,,1983,9,,578,324,580000,265000,845324,,,,,,,34.03326363,,2003-07-01,2023-09-25
1983-0452-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Georgia (N°6),VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Ha Son Binh, Thai Binh, Nai Hung, Thanh Hoa, Ha Bac, Hanoi, Vinh Phu, Nghe Tinh provinces",,,No,No,No,,,Kph,,,,1983,10,5,1983,10,5,80,184,,336360,336544,,,,,,,34.03326363,,2003-07-01,2023-09-25
1984-0035-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,100 km East from Hanoi,,,No,No,No,,,Kph,,,,1984,4,15,1984,4,15,21,94,,1000,1094,,,,,,,35.49688113,,2003-07-01,2023-09-25
1984-0090-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Central,,,No,No,No,,,Km2,,,,1984,10,,1984,10,,33,,38000,,38000,,,,,,,35.49688113,,2003-07-01,2023-09-25
1984-0103-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Agnes (n°9),VNM,Viet Nam,South-eastern Asia,Asia,", Nghe Tinh, Nghia Binh, Thanh Hoa, Ha Son Binh, Ha Nam Ninh, Hanoi, Quang Nam, Da Nag Province",,,No,No,No,,,Kph,,,,1984,11,,1984,11,,134,289,650416,,650705,,,,,,,35.49688113,,2003-07-01,2023-09-25
1985-0106-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,No,No,No,,24680,Km2,,,,1985,9,7,1985,9,7,93,,2800000,,2800000,,,,,,,36.75546794,,2003-07-01,2023-09-25
1985-0114-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Tri Thien, Nghe Tinh provinces",,,No,No,No,,,Kph,,,,1985,10,23,1985,10,23,798,257,225000,225000,450257,,,,,,,36.75546794,,2003-07-01,2023-09-25
1986-0109-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wayne (N°5),VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Thai Binh, Hason Binh, Haiphong, Quang Ninh provinces",,,No,No,No,,120,Kph,,,,1986,9,6,1986,9,6,435,2502,2500000,,2502502,,,,,,,37.45311166,,2006-09-17,2023-09-25
1986-0139-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Central,,,No,No,No,,,Km2,,,,1986,12,3,1986,12,3,165,,,,,,,,,,,37.45311166,,2003-07-01,2023-09-25
1987-0200-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Maury,VNM,Viet Nam,South-eastern Asia,Asia,"Nghia Binh, Phu Khahu Provinces",,,No,No,No,,,Kph,,,,1987,11,18,1987,11,18,101,211,584800,352000,937011,,,,,,,38.82560081,,2003-07-01,2023-09-25
1987-0363-VNM,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1987,12,,1987,12,,22,,,,,,,,,,,38.82560081,,2003-07-01,2023-09-25
1987-9029-VNM,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,VNM,Viet Nam,South-eastern Asia,Asia,Northern Provinces,,,No,No,No,,,Km2,,,,1987,,,1987,,,,,,,,,,,,,,38.82560081,,2006-02-13,2023-09-25
1988-0279-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,Cu Long Coast,,,No,No,No,,,,,,,1988,6,25,1988,6,25,50,,,,,,,,,,,40.40880605,,2003-07-01,2023-09-25
1988-0460-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,Nghe Tinh,,,No,No,No,,110,Kph,,,,1988,10,10,1988,10,10,137,,600000,,600000,,,,,,,40.40880605,,2003-07-01,2023-09-25
1988-0503-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,"Dong Nai, Phu Khanh, Thuan Ha provinces",,,No,No,No,,,Kph,,,,1988,11,6,1988,11,6,20,,720000,,720000,,,,,,,40.40880605,,2003-07-01,2023-09-25
1989-0104-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Irving,VNM,Viet Nam,South-eastern Asia,Asia,Thanh Hoa province,,,No,No,No,,,Kph,,,,1989,7,24,1989,7,24,104,491,1000000,445000,1445491,,,,,,,42.35934309,,2003-07-01,2023-09-25
1989-0128-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Brian, Angela, Dan",VNM,Viet Nam,South-eastern Asia,Asia,"Nghe Tinh, Binh Tri Thien provinces",,,No,No,No,,,Kph,,,,1989,10,,1989,10,,104,762,4635000,,4635762,,,,,,,42.35934309,,2003-07-01,2023-09-25
1989-0178-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,VNM,Viet Nam,South-eastern Asia,Asia,Da Nang city (Quang Nam Danang province),,Flood,No,No,No,,,Kph,,,,1989,5,25,1989,5,25,751,106,,336000,336106,,,,,21000,49576,42.35934309,,2005-04-20,2023-09-25
1989-0278-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,South China Sea,,,No,No,No,,,,,,,1989,3,8,1989,3,8,130,,,,,,,,,,,42.35934309,,2003-07-01,2023-09-25
1989-0312-VNM,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1989,7,,1989,7,,20,,,,,,,,,,,42.35934309,,2003-07-01,2023-09-25
1989-0503-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Thanh Hoa,,,No,No,No,,,,,,,1989,1,14,1989,1,14,43,,,,,,,,,,,42.35934309,,2003-07-01,2023-09-25
1989-0553-VNM,Yes,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,,VNM,Viet Nam,South-eastern Asia,Asia,Hue,,,No,No,No,,,,,,,1989,1,10,1989,1,10,29,,,,,,,,,,,42.35934309,,2003-07-01,2023-09-25
1990-0048-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,No,No,No,,13950,Km2,,,,1990,6,20,1990,7,8,82,200,10000,,10200,,,,,725,1624,44.64587744,,2006-07-19,2023-09-25
1990-0069-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Becky,VNM,Viet Nam,South-eastern Asia,Asia,"Ky Anh, Quang Trach, Quang Binh district + Son (Ha Nam Ninh province), Tra Ling (Thai Binh province)",,,No,No,No,,,Kph,,,,1990,8,,1990,8,,19,108,500000,,500108,,,,,,,44.64587744,,2003-07-01,2023-09-25
1990-0177-VNM,Yes,nat-bio-epi-par,Natural,Biological,Epidemic,Parasitic disease,,,VNM,Viet Nam,South-eastern Asia,Asia,Nghe Tinh,,,No,No,No,,,Vaccinated,,,,1990,1,,1990,1,,200,,,,,,,,,,,44.64587744,,2003-07-01,2023-09-25
1990-0418-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,Nghe Tinh,,,No,No,No,,,Kph,,,,1990,11,15,1990,11,15,68,,,,,,,,,,,44.64587744,,2003-07-01,2023-09-25
1990-0608-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,Central Eastern Coast,,,No,No,No,,,Kph,,,,1990,10,23,1990,10,23,15,,,2000,2000,,,,,,,44.64587744,,2003-07-01,2023-09-25
1991-0210-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fred,VNM,Viet Nam,South-eastern Asia,Asia,"Quanq Bin, Ha Tinh, Than Hoa, Nghe provinces",,,No,No,No,,,Kph,,,,1991,8,17,1991,8,17,17,16,,455905,455921,,,,,9500,20414,46.53662061,,2003-07-01,2023-09-25
1991-0229-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,No,No,No,,1000,Km2,,,,1991,8,,1991,8,,21,,270000,600,270600,,,,,5000,10744,46.53662061,,2007-08-08,2023-09-25
1991-0281-VNM,Yes,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Mine,VNM,Viet Nam,South-eastern Asia,Asia,Chau Binh (Nghe Tin Province),,,No,No,No,,,m3,,,,1991,6,,1991,6,,300,,,,,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0315-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Son La, Lai Chau provinces",Monsoonal rain,Broken Dam/Burst bank,No,No,No,,30960,Km2,,,,1991,7,28,1991,7,31,38,14,4000,,4014,,,,,3200,6876,46.53662061,,2006-07-18,2023-09-25
1991-0444-VNM,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ngai, Quang Nam-Da, Thua Thien-Hue provinces",,,Yes,No,No,,70,Kph,,,,1991,12,28,1991,12,28,251,200,10000,,10200,,,,,1000,2149,46.53662061,,2003-07-01,2023-09-25
1991-0538-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",Heavy rain,,No,No,No,,,Km2,,,Mekong river,1991,9,19,1991,9,25,136,,21000,,21000,,,,,38500,82731,46.53662061,,2006-01-08,2023-09-25
1991-0616-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,"Automoteur ""Hai Au 2""",VNM,Viet Nam,South-eastern Asia,Asia,Tonkin Gulf,,,No,No,No,,,,,,,1991,7,13,1991,7,13,28,,,,,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0711-VNM,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Khanh Hoa,,,No,No,No,,,Kph,,,,1991,3,15,1991,3,15,8,,10708,,10708,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0713-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Zeke,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh Hai Phong,,,No,No,No,,,Kph,,,,1991,7,13,1991,7,13,21,6,770,,776,,,,,,,46.53662061,,2003-07-01,2023-09-25
1992-0061-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Chuck,VNM,Viet Nam,South-eastern Asia,Asia,"Haiphong, Quang Ninh provinces",,,No,No,No,11162,,Kph,,,,1992,6,29,1992,6,29,14,11,44945,2230,47186,,,,,400,834,47.94612964,,2003-07-01,2023-09-25
1992-0143-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Angela,VNM,Viet Nam,South-eastern Asia,Asia,Between Thua Thien Hue and Khanh Hoa provinces,,,No,No,No,,,Kph,,,,1992,10,23,1992,10,23,17,12,31180,980,32172,,,,,18000,37542,47.94612964,,2003-07-01,2023-09-25
1992-0144-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,Yes,No,No,,569,Km2,,,,1992,10,5,1992,10,9,55,10,44109,7579,51698,,,,,47700,99487,47.94612964,,2005-11-21,2023-09-25
1992-0145-VNM,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri provinces",Tropical cyclone,,No,No,No,,,Km2,,,,1992,10,28,1992,10,31,1,,58000,,58000,,,,,,,47.94612964,,2005-11-21,2023-09-25
1992-0311-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,Haiphong province,,,No,No,No,,,,,,,1992,7,3,1992,7,3,29,,,,,,,,,,,47.94612964,,2003-07-01,2023-09-25
1992-0312-VNM,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Yakovlev,VNM,Viet Nam,South-eastern Asia,Asia,Near Nha Trang,,,No,No,No,,,,,,,1992,11,14,1992,11,14,29,,,,,,,,,,,47.94612964,,2003-07-01,2023-09-25
1992-0313-VNM,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,Ha Tuyen (Cao Bang province),,"Slide (land, mud, snow, rock)",No,No,No,,,,,,,1992,7,25,1992,7,25,200,,,38000,38000,,,,,,,47.94612964,,2006-01-06,2023-09-25
1993-0088-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kyle,VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Khanh Hoa, Binh Dinh, Dal Lac provinces",,,Yes,No,No,,,Kph,,,,1993,11,23,1993,11,23,130,16,6000,5490,11506,,,,,15000,30388,49.36133216,,2007-05-05,2023-09-25
1993-0133-VNM,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,VNM,Viet Nam,South-eastern Asia,Asia,Tuyen Quang province,,,No,No,No,,,Kph,,,,1993,3,16,1993,3,16,3,16,,2000,2016,,,,,,,49.36133216,,2003-07-01,2023-09-25
1993-0213-VNM,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,No,No,No,,29440,Km2,,,"Phan Thiet, Muong Man River",1993,10,2,1993,10,12,64,,15000,,15000,,,,,10000,20259,49.36133216,,2005-11-18,2023-09-25
1993-0231-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lola,VNM,Viet Nam,South-eastern Asia,Asia,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",,,No,No,No,,130,Kph,,,,1993,12,8,1993,12,8,73,20,20520,4695,25235,,,,,50000,101294,49.36133216,,2003-07-01,2023-09-25
1993-0337-VNM,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Oil pipeline,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh,,,No,No,No,,,m3,,,,1993,11,2,1993,11,2,44,50,,,50,,,,,,,49.36133216,,2003-07-01,2023-09-25
1993-0338-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh,,,No,No,No,,,,,,,1993,9,6,1993,9,6,41,,,,,,,,,,,49.36133216,,2003-07-01,2023-09-25
1993-0339-VNM,Yes,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1993,6,,1993,6,,24,,,,,,,,,,,49.36133216,,2003-07-01,2023-09-25
1994-0187-VNM,Yes,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,,VNM,Viet Nam,South-eastern Asia,Asia,Lai Chau province,,"Slide (land, mud, snow, rock)",No,No,No,,,,,,"Nam Duc, Red",1994,7,15,1994,7,31,21,34,,1000,1034,,,,,2300,4541,50.64840266,,2006-07-12,2023-09-25
1994-0341-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,Yes,No,No,920,65260,Km2,,,Mekong,1994,9,4,1994,12,18,310,,382000,,382000,,,,,206000,406726,50.64840266,,2006-07-12,2023-09-25
1994-0658-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Luke,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Ninh Binh, Nam Ha, Ha Tay",,,No,No,No,,,Kph,,,,1994,9,17,1994,9,17,30,,11000,,11000,,,,,45000,88848,50.64840266,,2006-07-13,2023-09-25
1995-0236-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,Yes,No,No,,123000,Km2,,,"Mekong, Perfume",1995,9,21,1995,10,19,253,,400000,,400000,,,,,86000,165165,52.06929869,,2006-07-11,2023-09-25
1995-0274-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Zack,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ngai, Binh Dinh, Quang Nam-Danang, Quang Tri, Quang Binh",,Flood,No,No,No,838,,Kph,,,,1995,11,1,1995,11,1,16,51,23000,,23051,,,,,21200,40715,52.06929869,,2007-05-06,2023-09-25
1995-0374-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Hoa Binh,,,No,No,No,,,,,,,1995,1,7,1995,1,7,22,17,,,17,,,,,,,52.06929869,,2003-07-01,2023-09-25
1995-0391-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,," Bac ""Ngoc Thanh Ii""",VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1995,8,31,1995,8,31,22,,,,,,,,,,,52.06929869,,2003-07-01,2023-09-25
1996-0110-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Frankie ,VNM,Viet Nam,South-eastern Asia,Asia,"Thai Binh, Nam Ha, Ninh Binh, Thanh Hoa, Hoa Binh",,,Yes,No,No,2614,102,Kph,,,,1996,7,24,1996,7,24,585,591,386500,,387091,,,,,362000,675429,53.59556085,,2005-04-25,2023-09-25
1996-0131-VNM,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue haemorrhagic fever,VNM,Viet Nam,South-eastern Asia,Asia,South,,,Yes,No,No,,,Vaccinated,,,,1996,7,5,1996,7,5,45,,9706,,9706,,,,,,,53.59556085,,2003-07-01,2023-09-25
