STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
11;Elecsys Troponin T hs;09315322190, Elecsys Troponin T hs;2300144ĐKLH/BYT-TB-CT;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 1 ; 9.240.000 ;"M: Vi hạt phủ streptavidin 
 R1: Kháng thể đơn dòng kháng troponin T tim; đệm phosphate. 
 R2: Kháng thể đơn dòng kháng troponin T tim đánh dấu phức hợp ruthenium; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
12;Elecsys CA 72-4;09005692190, Elecsys CA 72-4;2300770ĐKLH/BYT-HTTB;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 3 ; 7.941.045 ;"M: Vi hạt phủ Streptavidin. 
 R1: Kháng thể đơn dòng kháng CA 72-4 đánh dấu biotin; đệm phosphate. 
 R2: Kháng thể đơn dòng kháng CA 72-4 đánh dấu phức hợp ruthenium; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
13;Elecsys AFP;09015060190, Elecsys AFP;2301816ĐKLH/BYT-HTTB;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 3 ; 4.083.975 ;"M: Vi hạt phủ Streptavidin 
 R1: Kháng thể đơn dòng kháng AFP đánh dấu biotin; đệm phosphate 
 R2: Kháng thể đơn dòng kháng AFP đánh dấu phức hợp ruthenium; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
14;RADIFOCUS Introducer II (A kit);RS*xxxxxxSQ;5573NK/BYT-TB_CT ;Từ 2023 trở đi;Việt Nam;Terumo Vietnam Co., Ltd;Terumo Vietnam Co., Ltd - Việt Nam;Bộ; 15 ; 482.700 ;"Cấu tạo gồm:
 Kim luồn cỡ 20G x 1 1/4"".
 Mini guidewire plastic cỡ 0.025"" x 45cm 
 Bơm tiêm 2.5ml
 Introducer Sheath
 Dilator (que nong)
 Dao rạch da
 Đặc điểm: Van cầm máu kiểu ""Cross-Cut""
 Sheath có phủ lớp ái nước M Coat, lực cản chỉ bằng 1/2 so với sheath thông thường, giảm cảm giác khó chịu cho bệnh nhân
 Kích thước: đường kính 5F-6F, dài 10cm";Công ty TNHH Thiết bị y tế Thăng Long;0101127443;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
15;Dây dẫn can thiệp mạch thần kinh Avigo;103-0606-200;11501NK/BYT-TB-CT;Từ 2023 trở đi;Mỹ;Micro Therapeutics, Inc. dba ev3 Neurovascular;Micro Therapeutics, Inc. dba ev3 Neurovascular, Mỹ;Cái; 15 ; 5.990.000 ;"Chất liệu thép không gỉ, đường kính 0.014”, độ dài 205cm, đầu quấn lò xo platinum dài 5cm.
 Được thiết kế để hỗ trợ tối ưu cho các hệ thống theo dấu, có thể đi xuyên qua huyết khối và đảm bảo ống thông luôn giữ nguyên vị trí";Công ty Cổ phần thiết bị y tế VNT;0104639390;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
16;Giá đỡ mạch thần kinh Solitaire X;SFR4-x-xx-xx;18742NK/BYT-TB-CT;Từ 2023 trở đi;Mỹ;Micro Therapeutics, Inc. dba ev3 Neurovascular;Micro Therapeutics, Inc. dba ev3 Neurovascular, Mỹ;Cái; 5 ; 45.000.000 ;"Đường kính stent 4,6mm, chiều dài stent 20mm, 24mm, 40mm, dùng cho mạch đường kính 2-4mm, 2-5.5mm.
 Tương thích vi ống thông đường kính 0.021""-0.027"", số marker đầu xa 3,4, số marker đầu gần 1, khoảng cách giữa các marker là 5mm, 6mm, 10mm.
  Được sử dụng để lấy huyết khối trong điều trị đột quỵ.";Công ty Cổ phần thiết bị y tế VNT;0104639390;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
17;Van cầm máu loại trượt USM SM;HVY-7CPLCRTB, HVY-7CLLCRTB;230000737/PCBB-HCM;Từ 2023 trở đi;Việt Nam;Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare;Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare, Việt Nam;Cái; 20 ; 170.000 ;"Van 3 bậc tiện dụng. 
 Van loại: Trượt (theo chiều dọc), bấm 3 nấc.
 Chiều dài dây áp lực: lên tới 25 cm. 
 Đường kính dây: 1-5 mm. 
 Đường kính trong của van: 0.3 cm. 
 Áp suất van cầm máu: 300 psi.
 Van đóng mở : On/Off.";Công ty Cổ phần thiết bị y tế VNT;0104639390;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
18;Vi ống thông can thiệp mạch thần kinh Rebar;105-5081-153;11505NK/BYT-TB-CT ;Từ 2023 trở đi;Mỹ;Micro Therapeutics, Inc. dba ev3 Neurovascular;Micro Therapeutics, Inc. dba ev3 Neurovascular, Mỹ;Cái; 5 ; 8.500.000 ;"Ống thông can thiệp dạng coil bằng thép không gỉ, đường kính ngoài gần-xa là ,2.4Fr-2.7Fr và 2.8Fr-2.8Fr đường kính trong 0.021"" và 0.027"".
 Chiều dài là 145 và 153cm, tương thích với dây dẫn lớn nhất 0.018"", 0.021"". 
 Được sử dụng trong can thiệp mạch thần kinh";Công ty Cổ phần thiết bị y tế VNT;0104639390;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
19;Ống thông dẫn đường dùng trong can thiệp - Neuron System;"PNML6F088804M; PNML6F088904M; PND6F0701058M.";2300083/ĐKLH/BYT-TB-CT ;Từ 2023 trở đi;Hoa Kỳ;Penumbra, Inc;Penumbra, Inc. / Hoa Kỳ;Cái; 15 ; 9.000.000 ;"Kích cỡ 6F. Đường kính trong lớn loại 0.070"" và 0.088"". Chiều dài loại 0.070"": 105cm.Chiều dài loại 0.088"": 80cm; 90cm. Đường kính ngoài đầu gần/đầu xa 8F/8F đối với loại 0.088"",đường kính đầu gần/đầu xa 6F/6F đối với loại 0.070"" .";Công ty TNHH Thiên Việt;0100234876;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
20;Ống thông hút huyết khối dùng trong can thiệp mạch - Reperfusion Catheter 3MAX.;3MAXC;2200352/ĐKLH/BYT-TB-CT ;Từ 2023 trở đi;Hoa Kỳ;Penumbra, Inc;Penumbra, Inc. / Hoa Kỳ;Cái; 10 ; 18.900.000 ;"Đường kính trong đầu xa: 0.035""; Đường kính ngoài đầu xa: 3,8F; Đường kính ngoài đầu gần: 4,7F.; Chiều dài làm việc: 160cm";Công ty TNHH Thiên Việt;0100234876;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
21;Ống thông hút huyết khối dùng trong can thiệp mạch - Reperfusion Catheter RED;"RED72; RED68; RED62S";2300081/ĐKLH/BYT-TB-CT ;Từ 2023 trở đi;Hoa Kỳ;Penumbra, Inc;Penumbra, Inc. / Hoa Kỳ;Cái; 10 ; 35.574.000 ;"Kích cỡ đường kính ngoài đầu gần: 6F. Đường kính trong đầu xa có: 0.062""; 0.068"" 0.072"". Chiều dài 132 cm đối với các loại có đường kính trong 0.068"" và 0.072"". Chiều dài 138cm đối với loại 0.062"".";Công ty TNHH Thiên Việt;0100234876;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
22;Glidecath;RF*XxxxxxxM;2400805ĐKLH/BYT-HTTB;Từ 2023 trở đi;Nhật Bản;Ashitaka Factory of Terumo Corporation;Ashitaka Factory of Terumo Corporation - Nhật Bản;Cái; 15 ; 945.000 ;"Cấu tạo: 3 lớp 
 Lớp giữa là lớp đan bằng thép không rỉ
 Lớp trong và lớp ngoài là polyurethane rich nylon
 Đoạn xa có lớp phủ ái nước Hydrophilic M Coating
 Đường kính lòng ống: 1.1 mm (cỡ 5Fr) và 1.03mm (cỡ 4Fr)
 Kích cỡ: 5Fr, 4Fr. Chiều dài: 65 cm,70cm, 80 cm, 100 cm
 Hình dạng đầu tip
 Sử dụng cho mạch tạng: Cobra, J Curve, Yashiro type.
 Sử dụng cho mạch não: Simmons, Mani, Vertebral";Công ty TNHH Thiết bị y tế Thăng Long;0101127443;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
23;Radifocus Guide Wire M (150cm);RF*xxxxxxxM;2100086ĐKLH/BYT-TB-CT;Từ 2023 trở đi;Việt Nam;Terumo Vietnam Co., Ltd;Terumo Vietnam Co., Ltd - Việt Nam;Cái; 15 ; 495.000 ;"Cấu tạo: 
 Lõi là vật liệu Nitinol, hợp kim siêu đàn hồi.
 Lớp ngoài là Polyurethane, tăng tính cản quang bằng lớp Tungsten
 Lớp phủ ái nước Hydrophilic M coat
 Hình dạng đầu: đầu thẳng, đầu cong hoặc hình chữ J ( Straight, Angled, J-Curve )
 Kích thước: 
 Chiều dài dây dẫn: 150 cm.
 Chiều dài của phần đầu linh hoạt: 3 cm
 Đường kính: 0.025'', 0.035'', 0.038''";Công ty TNHH Thiết bị y tế Thăng Long;0101127443;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
24;Radifocus Guide Wire M (260cm);RF*xxxxxxxM;2100086ĐKLH/BYT-TB-CT;Từ 2023 trở đi;Việt Nam;Terumo Vietnam Co., Ltd;Terumo Vietnam Co., Ltd - Việt Nam;Cái; 15 ; 580.000 ;"Cấu tạo: 
 Lõi là hợp kim Nitinol siêu đàn hồi.
 Lớp ngoài là Polyurethane, tăng tính cản quang bằng lớp Tungsten.
 Lớp phủ ái nước hydrophilic M Coat.
 Hình dạng đầu tip: đầu thẳng, đầu cong hoặc hình chữ J (Straight, Angled, J-Curve)
 Kích thước: 
 Chiều dài dây dẫn: 260 cm.
 Chiều dài của phần đầu linh hoạt: 3 cm
 Đường kính: 0.025'', 0.035'', 0.038''";Công ty TNHH Thiết bị y tế Thăng Long;0101127443;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 982/QĐ-BVĐK ngày 04/10/2024;;;;;;;;;
25;Kim đốt sóng cao tần đầu đốt cố định star RF Electrode_Fixed;"19-07s04F, 
 19-07s05F, 
 19-07s07F, 
 19-07s10F, 
 19-07s15F, 
 19-07s20F, 
 19-10s05F, 
 19-10s07F, 
 19-10s10F, 
 19-10s15F, 
 19-10s20F, 
 18-07s04F, 
 18-07s05F, 
 18-07s07F, 
 18-07s10F, 
 18-07s15F, 
 18-10s05F, 
 18-10s07F, 
 18-10s10F, 
 18-10s15F, 
 18-10s20F, 
 18-15s05F, 
 18-15s07F, 
 18-15s10F, 
 18-15s15F, 
 18-15s20F, 
 18-15s30F, 
 17-07s04F, 
 17-15s07F, 
 17-15s10F, 
 17-15s15F, 
 17-15s20F, 
 17-15s25F, 
 17-15s30F, 
 17-15s40F, 
 17-20s10F, 
 17-20s15F, 
 17-20s20F, 
 17-20s25F, 
 17-20s30F, 
 17-20s40F, 
 17-25s10F, 
 17-25s20F, 
 17-25s30F, 
 17-25s40F, 
 17-35s10F, 
 17-35s20F, 
 17-35s30F, 
 17-35s40F, 
 16-25s05F, 
 16-25s10F, 
 16-25s15F, 
 16-25s20F, 
 16-25s25F, 
 16-25s30F, 
 16-30s05F, 
 16-30s10F, 
 16-30s15F, 
 16-30s20F, 
 16-30s25F, 
 16-30s30F, 
 16-35s05F, 
 16-35s10F, 
 16-35s15F, 
 16-35s20F, 
 16-35s25F, 
 16-35s30F, 
 15-15s15F, 
 15-15s20F, 
 15-15s25F, 
 15-15s30F, 
 15-15s40F, 
 15-20s20F, 
 15-20s25F, 
 15-20s30F, 
 15-20s40F, 
 15-25s20F, 
 15-25s30F, 
 15-25s40F, 
 15-35s20F, 
 15-35s30F, 
 15-35s40F";GPNK số: 9843/NK/BYT-TB-CT;Từ 2023 trở đi;Hàn Quốc;STARmed Co., Ltd;STARmed Co., Ltd./Hàn Quốc;Cái; 20 ; 17.520.000 ;"Cấu hình 1 bộ gồm kim đốt sóng cao tần, bộ dây dẫn nước làm mát đầu kim và bản cực trung tính gắn liền cáp nối.
 - Kim đốt có hệ thống làm lạnh bên trong.
 - Kim có nhiều kích thước, độ dài và đầu phát nhiệt khác nhau. 
 - Loại kim có đường kính 19G bao gồm tối thiểu:
 + Chiều dài 7cm; đầu phát nhiệt 4mm, 5mm, 7mm, 10mm, 15mm, 20mm
 + Chiều dài 10cm; đầu phát nhiệt 5mm, 7mm, 10mm, 15mm, 20mm 
 - Loại kim có đường kính 18G bao gồm tối thiểu:
 + Chiều dài 7cm; đầu phát nhiệt 4mm, 5mm, 7mm, 10mm, 15mm
 + Chiều dài 10cm; đầu phát nhiệt 5mm, 7mm, 10mm, 15mm, 20mm
 + Chiều dài 15cm; đầu phát nhiệt 5mm, 7mm, 10mm, 15mm, 20mm, 30mm
 - Loại kim có đường kính 17G bao gồm tối thiểu:
  + Chiều dài 7cm; đầu phát nhiệt 4mm
  + Chiều dài 15cm; đầu phát nhiệt 7mm, 10mm, 15mm, 20mm, 25mm, 30mm, 40mm
  + Chiều dài 20cm; đầu phát nhiệt 10mm, 15mm, 20mm, 25mm, 30mm, 40mm 
  + Chiều dài 25cm, 35cm; đầu phát nhiệt 10mm, 20mm, 30mm, 40mm
 - Loại kim có đường kính 16G bao gồm tối thiểu:
 + Chiều dài 25cm, 30cm và 35cm; đầu phát nhiệt 5mm, 10mm, 15mm, 20mm, 25mm, 30mm
 - Loại kim có đường kính 15G bao gồm tối thiểu:
  + Chiều dài 15cm; đầu phát nhiệt 15mm, 20mm, 25mm, 30mm, 40mm
  + Chiều dài 20cm; đầu phát nhiệt 20mm, 25mm, 30mm, 40mm 
  + Chiều dài 25cm, 35cm; đầu phát nhiệt 20mm, 30mm, 40mm";Công ty TNHH Thiết bị y tế Tất Thành         ;0102598910;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1207/QĐ-BVĐK , ngày 14/11/2024;;;;;;;;;
26;ID-DiaCell ABO A1, B;3624;2300208ĐKLH/BYT-TB-CT;2023 trở đi;Thụy Sỹ;DiaMed GmbH;DiaMed GmbH/ Thụy Sỹ;Hộp; 170 ; 650.000 ;"Khả năng thực hiện xét nghiệm: phát hiện sự xuất hiện của kháng thể đơn dòng A và B.
 Thành phần: Tất cả các thuốc thử tế bào thử nghiệm đều có nguồn gốc từ người, trong môi trường huyền phù đệm ở mức 0,8% (± 0,1%).
 Chất bảo quản: kháng sinh trimethoprim và sulfamethoxazole.";Công ty TNHH TBYT Phương Đông;010108827;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1515/QĐ-BVĐK , ngày 30/12/2024;;;;;;;;;
27;ID-DiaCell I-II-III Asia;3614;2300869ĐKLH/BYT-HTTB;2023 trở đi;Thụy Sỹ;DiaMed GmbH;DiaMed GmbH/ Thụy Sỹ;Hộp; 17 ; 2.960.000 ;"Khả năng thực hiện xét nghiệm:có khả năng sàng lọc kháng thể bất thường kiểu hình GP.MUR. Với cả phản ứng trong môi trường nước muối và IAT.
 Thành phần: Tất cả các thuốc thử tế bào thử nghiệm đều có nguồn gốc từ người, trong môi trường huyền phù đệm ở mức 0,8% (± 0,1%).
 Chất bảo quản: kháng sinh trimethoprim và sulfamethoxazole.";Công ty TNHH TBYT Phương Đông;010108828;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1515/QĐ-BVĐK , ngày 30/12/2024;;;;;;;;;
28;Túi đóng thuốc đông y;Packing film;220000125/PCBA-HN ngày 18/01/2022;2024;Trung Quốc;"Beijing Sun
 International trade
 CO., Ltd";" Trung
 Quốc";Cuộn; 80 ; 950.000 ;"- Chất liệu nhựa PE, chịu lực, chịu nhiệt. 
 - Cuộn túi đóng gói thuốc sắc đông y dùng cho các loại máy sắc thuốc và đóng túi tự động.
 - Kích thước tối thiểu: Dài 400m x Rộng 10cm ± 5%";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
29;Túi sắc thuốc đông y;Túi lọc;không áp dụng;2024;Việt Nam;NAMLEE, ;Việt Nam;Túi; 80 ; 35.000 ;- Túi lọc thuốc đông y dùng cho máy sắc thuốc tự động, chất liệu vải, kích thước 30x 50 cm ± 10%;Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
30;Dung dịch rửa mắt thường quy;4800;"240000580/PCBB-HCM
 Ngày công bố: 15/03/2024";2024;Đan Mạch;Frederik Plums Vej 2, 5610 Assens;DENMARK;Chai; 2 ;1.800.000;"- Chức năng: Rửa sạch hóa chất acid, bazo, cân bằng PH cho mắt trong thời gian nhanh nhất.
 - Thành phần chính: Dung dịch vô trùng sodium chloride 0.9%. 
 - Thời gian rửa mắt: 10 phút/ lần
 - Mỗi chai dung tích tối thiểu 500ml";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
31;Điện cực dán người lớn;GP202S-A;"Số công bố: 240002209/PCBB-HCM
 Ngày công bố: 27/09/2024";2024;Trung Quốc;Cathay;Trung Quốc;Cái; 200 ; 70.000 ;"- Vật liệu nền bản cực từ một lớp gel, 1 lớp bọt xốp, 1 lớp nhôm.
 - Loại lưỡng cực, dùng một lần";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
32;Dây cáp lưỡng cực;26176LW;17.1/062023/KSVRO_KQPL ngày 07/06/2023;2024;Đức;BOWA-Electronic GmbH &Co. KG;Đức;Cái; 18 ;2.800.000;"- Cáp cao tần lưỡng cực, hai chân cắm cách nhau 22mm, chiều dài 3m
 - Mã hàng 26176LW hoặc tương đương, dùng tương thích với dụng cụ phẫu thuật nội soi KarlStorz";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
33;Kẹp lưỡng cực;310-170/310-180;3473-1PL-TTDV\170000027\PCBPL-BYT ngày 09/10/2020;2024;Pakistan;Real Star Surgical Instruments,; Pakiatan;Cái; 10 ;2.400.000;- Dùng tương thích với dụng cụ phẫu thuật nội soi KarlStorz;Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
34;Giấy in monitor sản khoa;FS130;"Số công bố: 230000003/PCBA-ĐNa
 Ngày công bố: 03/02/2023";2024;Trung Quốc;Tianjin Grand Paper Industry Co.,Ltd.;Trung Quốc;Cuộn; 50 ; 110.000 ;"- Giấy in dùng cho monitor sản khoa 
 - Loại sọc đỏ
 - Kích thước tối thiểu: Dài 30m x Rộng 120mm";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
