STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
11;EB0002I;EB;HTX Trường Thịnh;49 Khu phố Phước Hiệp, P. Trường Thạnh, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
12;EB0003I;EB;HTX DV Vận tải Liên Minh;16 Đường 588, Khu phố 1, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
13;EB0009I;EB;HTX SX CN XD TM Hiệp Phát;486 B Đường Nam Hòa , P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
14;EB0010I;EB;HTX Bao Bì & Cơ Khí Phương Nam;568 Lê Văn Việt, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
15;EB0011I;EB;HTX Vận Tải  Bốc Dỡ và TC Cơ Giới Tân Hiệp Phú;74 Tân Lập 1, KP3, P. Hiệp Phú, Q.9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
16;EB0012I;EB;HTX SX DV Tổng Hợp Nông Nghiệp Tân Đức;6 đường 100A, P.Tân Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
17;FI0001I;FI;UBND P. Hiệp Phú;23 Trương Văn Thành  KP4 P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
18;FI0002I;FI;UBND P. Long Bình;04 Trần Trọng Khiêm P. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
19;FI0003I;FI;UBND P. Long Phước;239 Long Thuận P. Long Phước, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
20;FI0004I;FI;UBND P. Long Thạnh Mỹ;325 Nguyễn Văn Tăng P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
21;FI0005I;FI;UBND P. Long Trường;1341 Nguyễn Duy Trinh, P. Long Trường, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
22;FI0006I;FI;UBND P. Phước Bình;616 Đỗ Xuân Hợp  P Phước Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
23;FI0007I;FI;UBND P. Phước Long A;94 KP2  P. Phước Long A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
24;FI0008I;FI;UBND P. Phước Long B;P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
25;FI0009I;FI;UBND P. Phú Hữu;893 Nguyễn Duy Trinh P. Phú Hữu, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
26;FI0010I;FI;UBND P. Trường Thạnh;34 Phước Hiệp P. Trường Thạnh, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
27;FI0011I;FI;UBND P. Tăng Nhơn Phú A;29A Lê Văn Việt P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
28;FI0012I;FI;UBND P. Tăng Nhơn Phú B;1/164  KP3   P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
29;FI0013I;FI;UBND P. Tân Phú;117 Đường Cao Nam P. Tân Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
30;HI0034I;HI;Phòng Giáo dục Đào tạo Quận 9;2/304 P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
31;HI0050I;HI;Văn phòng UBND Quận 9;2/304 Khu Phố 1, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
32;HI0051I;HI;Tòa án Nhân dân Quận 9;P. Trường Thạnh Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
33;HI0052I;HI;Phòng Tư Pháp Quận 9;2/304, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
34;HI0056I;HI;Phòng Tài chính KH Quận 9;2/304 XLHN, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
35;HI0061I;HI;Phòng Lao động - Thương binh và Xã hội Quận 9;2/267 Xa lộ HN , P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
36;HI0064I;HI;Phòng Kinh tế;2/304 Khu Phố 1, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
37;HI0065I;HI;Phòng Quản lý Đô thị Quận 9;69A Tân Lập, KP3, P.Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
38;HI0066I;HI;Phòng Nội Vụ;2/304 Khu Phố 1, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
39;HI0067I;HI;Thanh tra Quận 9;2/304 Khu Phố 1, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
40;HI0099I;HI;Phòng Văn hóa và Thông tin;2/304 Khu Phố 1 P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
41;HI0112I;HI;Phòng Tài nguyên Môi trường;2/304 Hòa Phú, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
42;HI0113I;HI;Chi Cục Thi hành án Dân sự Quận 9;Bót dây thép , KP 2 P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
43;HI0116I;HI;Phòng Y tế Quận 9;2/304 Khu Phố 1, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
44;HI0117I;HI;Viện kiểm sát nhân dân Quận 9;Bót Dây Thép P Tăng Nhơn Phú A  Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
45;HW0001I;HW;Phân hiệu Học viện Phụ Nữ Việt Nam;620, Đường Đỗ Xuân Hợp, Phước Bình, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
46;HW0011I;HW;Trường Cao Đẳng Kỹ Nghệ II;502 Đỗ Xuân Hợp, P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
47;HW0034I;HW;Trường CĐ Công Thương TP.HCM;20 Tăng Nhơn Phú, Phường Phước Long B, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
48;HW0052I;HW;Trường đào tạo, bồi dưỡng nghiệp vụ kiểm sát tại TP. Hồ Chí Minh;P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
49;HW0064I;HW;Cty TNHH 1 TV Mỏ và Luyện kim Miền Nam;844 Quốc lộ 52, KP3, P.Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
50;HW0099I;HW;Trường CĐ Tài Chính Hải Quan;B2/1A,Đường 385, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
51;HW0140I;HW;Học viện Chính trị khu vực II;99 Man Thiện P. Hiệp Phú , Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
52;HZ0105I;HZ;Trường THPT Nguyễn Huệ;P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
53;HZ0239I;HZ;Ban quản trang Thành phố;Quốc Lộ 1A, Khu Phố 4 Linh Trung Thủ Đức;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
54;HZ0240I;HZ;Ban quản lý khu Công nghệ cao;Đường D1, Khu Công Nghệ Cao, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
55;HZ0285I;HZ;Trường THPT Phước Long;Khu Phố 6, P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
56;HZ0286I;HZ;Trung Tâm Nghiên Cứu Triển Khai Khu Công Nghệ Cao;Lô I3, đường N2, Khu Công Nghệ Cao, Quận9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
57;HZ0287I;HZ;Trung tâm đào tạo trực thuộc Ban Quản Lý Khu CNC TP;Lô E1, KCNC, P.Hiệp Phú, Quận 9, TP.HCM;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
58;HZI003I;HZ;Trường THPT Long Trường;309 Võ Văn Hát ấp Phước Hiệp  P. Long Trường, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
59;NI0002I;NI;Trường MN Thanh Lịch;241/5A Vĩnh Thuận, P. Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
60;NI0004I;NI;Trường mẫu giáo Mai Hoa;79 Đường 154 ấp Cây Dầu, P. Tân Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
61;NI0005I;NI;Trường Mầm Non Kiều Đàm;58/189 Tổ 2, Khu phố 2, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
62;NI0008I;NI;Trường Mầm Non Thỏ Ngọc;211 Tây Hòa, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
63;NI0009I;NI;Trường Mầm Non Hoa Mai;39/4 Hồ Bá Phấn, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
64;NI0010I;NI;Trường MN Sóc Nâu;211 Đường 13, P. Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
65;NI0011I;NI;Trường mẫu giáo tư thục Sao Mai;31 Trương Văn Thành, P. Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
66;NI0013I;NI;Trường Mầm Non Rồng Vàng;34 Phan Chu Trinh, P. Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
67;NI0015I;NI;Trường MN Hoa Hồng Đỏ;Tổ 4, KP.6 Đường Liên Phường, Phước Long B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
68;NI0016I;NI;Nhóm trẻ Mầm Non Sao Sáng;1/102 Đường 2, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
69;NI0017I;NI;Trường Mầm Non Ngô Thời Nhiệm;78/2 Hồ Bá Phấn, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
70;NI0019I;NI;Trường TH,THCS,THPT Ngô Thời Nhiệm;65 B Hồ Bá Phấn, P.Phước Long A,Q9,Tp HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
71;NI0023I;NI;Trường MN Bình Minh;469 đỗ Xuân Hợp, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
72;NI0024I;NI;Cơ sở ngoại ngữ Thiên Minh;82 Man Thiện, p. Tăng Nhơn phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
73;NI0026I;NI;Trường mầm non Việt Duy;179 Đường Ngô Quyền, P.Hiệp Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
74;NI0027I;NI;Nhóm Trẻ Nắng Mai;22/19 Đường 61, Tổ 9, KP 3, P.Phước Long B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
75;NI0028I;NI;Trường mầm non Sao Sáng;Số 90 Đình Phong Phú, KP 2, P. Tăng Nhơn Phú B, Q. 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
76;NI0029I;NI;Nhóm trẻ Nam Mỹ 2;18 Đường 270, Đỗ Xuân Hợp, KP4, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
77;NI0030I;NI;Trường THCS và THPT Hoa Sen;26 Đường Phan Chu Trinh, P.Hiệp Phú, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
78;NI0031I;NI;Trường MN Ban Mai;3/7/4, đường 182, KP3, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
79;NI0032I;NI;Trường MN Cậu Bé Gỗ;99 Man Thiện, P.Hiệp Phú, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
80;NI0033I;NI;Nhóm trẻ ánh sao 2;18 đương 898, kp3, P.Phú Hữu, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
81;NI0034I;NI;Nhóm trẻ Đô Rê Mí;138 Đường 339,Tổ 22,KP5,P Phước Long B,Q9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
82;NI0035I;NI;VPĐD Đại Học Bang Arizona Hoa Kỳ Tại Việt Nam;Tòa nhà Sacom Chíp Sáng, Lô T2-4, Đường D1, Khu CNC, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
83;NI0036I;NI;Trường Mầm Non Nai Vàng;56 Nguyễn Văn Thạnh, Phường Long Thạnh Mỹ, quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
84;NI0037I;NI;Nhóm Trẻ Gia Đình Thần Đồng Việt;40A Lã Xuân Oai, KP7, P.Tăng Nhơn Phú A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
85;NI0038I;NI;Nhóm Trẻ Mầm Non Song Như;54/9 Đường Quang Trung, KP5, P.Tăng Nhơn Phú B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
86;NI0039I;NI;Trường MN Thiện Mỹ;46/3C đường Trương Hanh, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
87;NI0040I;NI;Nhóm Trẻ Họa Mi;11A, Đường Tăng Nhơn Phú , Tổ 6, KP2, P.Phước Long B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
88;NI0041I;NI;Nhóm trẻ Mai Anh 2;112 Đường Lò Lu, Tổ 2, KP ích Thạnh, Phường Trường Thạnh, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
89;NI0042I;NI;Nhóm trẻ Hoa Trà My;Số 97, Tổ 4, Đường Cầu Xây, Kp 5, P. Tân Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
90;NI0043I;NI;Trường Mầm Non Hoa Thương;67 Phan Đạt Đức, P.Long Thạnh Mỹ, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
