"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"11","01/TB-TTTC","20/2/2025.","Trung tâm tiêm chủng VIETCARE Thạch Bàn- Công ty Cổ phần tập đoàn DNG","Số 36 đường Thạch Bàn, phường Thạch Bàn, Long Biên","Đào Hồng Chinh","938008465.0","null","1","null","null"
"12","24/CV-BV","18/2/2025.","Phòng tiêm chủng Bệnh viện Đại học quốc gia Hà Nội","Số 182 Lương Thế Vinh, phường Thanh Xuân Bắc, Thanh Xuân","Nguyễn Phương Mai","2435544833.0","null","1","null","null"
"13","2520/TB-FLC","25/2/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 174","Số 305-307 Bình Đà, thôn Chợ, xã Bình Minh, Thanh Oai","Hoàng Thị Diệu Linh","18006928 0789154255","1","null","null","null"
"14","001/TTTC103QO","20/2/2025.","Trung tâm tiêm chủng vắc xin 103 Quốc Oai-Chi nhánh-PKĐK 103 Quốc Oai -Công ty TNHH TM&XD Hiền Thơ","274-276 Phố Huyện, thị trấn Quốc Oai, Quốc Oai","Phạm Xuân Hiền","913369887.0","null","1","null","null"
"15","79/TB-BVNHN","04/3/2025.","Bệnh viện Nhi Hà Nội","Đường Nguyễn Trác, phường Yên Nghĩa, Hà Đông","Ngô Quang Hùng","987499436.0","1","null","null","null"
"16","01/TB-GSP","04/3/2025.","Phòng tiêm chủng GSD Việt Nam trực thuộc Công ty TNHH GSD Việt Nam","TT2-26 khu đấu giá Tứ Hiệp, xã Tứ Hiệp, Thanh Trì","Nguyễn Hữu Thủy","0989891321/0978613928","1","null","null","null"
"17","84/CV-GVN","05/3/2025.","Trung tâm tiêm chủng Gióng Đông Yên - Công ty Cổ phần GIONG Viet Nam","Xóm Mới, xã Đông Yên, Quốc Oai","Nguyễn Hoàng Lan","902267486.0","1","null","null","null"
"18","86/CV-GVN","05/3/2025.","Trung tâm tiêm chủng Gióng Tâm An - Công ty Cổ phần GIONG Viet Nam","Xóm 3 thôn Cổ Điển, xã Hải Bối, Đông Anh","Trần Thị Liên Hoa","902267486.0","null","1","null","null"
"19","15/CTCPYTNTL","06/3/2025.","Trung tâm tiêm chủng vắc xin Nam Từ Liêm","86-88 phố Nhổn, phường Tây Tựu, Bắc Từ Liêm","Trần Thị Yến","965546222.0","null","1","null","null"
"20","16/CTCPYTNTL","06/3/2025.","Trung tâm tiêm chủng vắc xin Nam Từ Liêm- cơ sở Tam Hiệp","18 dốc nhà máy đường Tam Hiệp, xã Tam Hiệp, Phúc Thọ","Đỗ Thị Loan","345546222.0","null","1","null","null"
"21","107/BVPT-KHTH","04/3/2025.","Bệnh viện đa khoa huyện Phúc Thọ","Thị trấn Phúc Thọ, Phúc Thọ","Nguyễn Phương Trung","345546222.0","null","1","null","null"
"22","2025/PTCVXKA","18/3/2025.","Phòng tiêm chủng vắc xin Kim Anh","83 thôn Mai Châu, xã Đại Mạch, Đông Anh","Lê Thị Mười","985929360.0","1","null","null","null"
"23","31/2025/TB-VNVC","20/3/2025.","Địa điểm kinh doanh VNVC Sóc Sơn- Công ty CP Vacxin Việt Nam","Khu đấu giá, tổ 1, thị trấn Sóc Sơn, Sóc Sơn","Nguyễn Thu Trang","02871026595/0373886886","1","null","null","null"
"24","2521/TB-FLC","18/3/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 165","Số 1 phố Sài Đồng, tổ 8, phường Phúc Đồng, Long Biên","Nguyễn Thị Thu","18006928 0789154255","1","null","null","null"
"25","511/TB-BVĐKĐG","27/3/2025.","Bệnh viện đa khoa Đức Giang","Số 54 Trường Lâm, phường Đức Giang, Long Biên","Nguyễn Văn Thường","0438274001 0903257706","null","1","null","null"
"26","293/2025/TB","29/3/2025","PKĐK JAPAN GREEN Việt Nam trực thuộc Công ty TNHH JAPAN GREEN Việt Nam","Tầng 1, 2 tòa nhà Lạc Hồng Lotus 1-N01-T5 đường Hoàng Minh Thảo, phường Xuân Tảo, Bắc Từ Liêm","Vũ Quang Sơn","898099886.0","1","null","null","null"
"27","343/TB-BVQY","31/3/2025","Bệnh viện Quân y 354","Số 120 Đốc Ngữ, phường Vĩnh Phúc, Ba Đình","Hà Duy Dương","977200994.0","null","1","null","null"
"28","170/TB-BVGL","31/3/2025","Khoa Sản - BVĐK huyện Gia Lâm","Khu đô thị mới, thị trấn Trâu Quỳ, Gia Lâm","Vũ Quang Hiển","376501942.0","null","1","null","null"
"29","2522/TB-FLC","09/4/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 179","Số 2E ngõ 34 đường Xuân La, phường Xuân La, Tây Hồ","Nguyễn Thanh Khoa Vy","18006928 0789154255","1","null","null","null"
"30","129/CV-GVN","09/4/2025.","Trung tâm tiêm chủng Gióng Ngọc Lâm - Công ty Cổ phần GIONG Viet Nam","Số 8 ngõ 61 Nguyễn Sơn, phường Ngọc Lâm, Long Biên","Lê Thị Dung","902267486.0","1","null","null","null"
"31","TB-FLC","14/4/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 165","Số 1 phố Sài Đồng, tổ 8, phường Phúc Đồng, Long Biên","Nguyễn Bạch Điệp","18006928 0789154255","null","1","null","null"
"32","725/TB-PSTW","15/4/2025.","Bệnh viện Phụ sản Trung ương","Số 1 Triệu Quốc Đạt, phường Trần Hưng Đạo, Hoàn Kiếm","Nguyễn Duy Ánh","2439346754.0","null","1","null","null"
"33","2523/TB-FLC","21/3/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 200","Thôn Nội Đồng, xã Đại Thịnh, Mê Linh","Nguyễn Bạch Điệp","18006928 0789154255","1","null","null","null"
"34","22/CV-CTX","22/4/2025.","Bệnh viện đa khoa Chữ Thập Xanh","Số 33 đường Nguyễn Hoàng, phường Mỹ Đình 2, Nam Từ Liêm","Vũ Ngọc Trung","988866689.0","null","1","null","null"
"35","2409/TB-BM","25/4/2025.","Bệnh viện Bạch Mai","Số 78 Giải Phóng, Đống Đa","Đào Xuân Cơ","0243.868.1045","null","1","null","null"
"36","237/TB-BV","25/4/2025.","Khoa Tiêm chủng - BVĐK Hà Đông","Số 2 Bế Văn Đàn, Quang Trung, Hà Đông","Đinh Thị Uyên","02433 826205","null","1","null","null"
"37","238/TB-BV","25/4/2025.","Khoa Phụ sản - BVĐK Hà Đông","Số 2 Bế Văn Đàn, Quang Trung, Hà Đông","Nguyễn Đức Tú","02433 826206","null","1","null","null"
"38","268/POLYVAC","08/5/2025","Phòng tiêm chủng dịch vụ POLYVAC - Gia Lâm thuộc Trung tâm Nghiên cứu Sản xuất vắc xin và Sinh phẩm y tế","Ô TT 19-21, khu đấu giá, thị trấn Trâu Quỳ, Gia Lâm","Nguyễn Đăng Hiền","2436463585.0","null","null","1","null"
"39","51/2025/VNVC-HCNS","08/5/2025","Địa điểm kinh doanh VNVC The West Cầu Giấy- Công ty CP Vacxin Việt Nam","Tầng 2 TTTM-DV Toàn nhà The West, số 265 đường Cầu Giấy, phường Dịch Vọng Hậu, Cầu Giấy","Đặng Hữu Bá","024388246666/0904354933","1","null","null","null"
"40","172/CV-GVN","05/5/2025.","Trung tâm tiêm chủng Gióng Chi Đông - Công ty Cổ phần GIONG Viet Nam","Ki ốt số 01, lô đất số 49G, KCN Quang Minh, thị trấn Quang Minh, Mê Linh","Đặng Thanh Nhàn","902267486.0","null","1","null","null"
"41","897/Z125-HC","07/5/2025.","Bệnh xá Nhà máy Z125/Tổng cục CNQP","Xã Phù Minh, Sóc Sơn","Lê Đức Toàn","904158619.0","1","null","null","null"
"42","69/TB-TTYT","13/5/2025","Trạm Y tế xã Võng Xuyên","Thôn Bảo Lộc 1, xã Võng Xuyên, Phúc Thọ","Nguyễn Thuỳ Nga","976228056.0","null","1","null","null"
"43","70/TB-TTYT","13/5/2025","Trạm Y tế xã Hát Môn","Thôn 6, xã Hát Môn, Phúc Thọ","Nguyễn Thị Nga","946211682.0","null","1","null","null"
"44","71/TB-TTYT","13/5/2025","Trạm Y tế xã Thanh Đa","Thôn Phú Đa, xã Thanh Đa, Phúc Thọ","Nguyễn Thị Riên","385313757.0","null","1","null","null"
"45","72/TB-TTYT","13/5/2025","Trạm Y tế xã Hiệp Thuận","Thôn Hiệp Thuận 2, xã Hiệp Thuận, Phúc Thọ","Nguyễn Văn Sang","968434416.0","null","1","null","null"
"46","73/TB-TTYT","13/5/2025","Trạm Y tế xã Tam Hiệp","Thôn 3, xã Tam Hiệp, Phúc Thọ","Lưu Thị Dung","865899586.0","null","1","null","null"
"47","74/TB-TTYT","13/5/2025","Trạm Y tế xã Liên Hiệp","Thôn 3, xã Liên Hiệp, Phúc Thọ","Đỗ Thị Phượng","836346420.0","null","1","null","null"
"48","75/TB-TTYT","13/5/2025","Trạm Y tế xã Ngọc Tảo","Thôn 4, xã Ngọc Tảo, Phúc Thọ","Vũ Mạnh Cường","984987422.0","null","1","null","null"
"49","76/TB-TTYT","13/5/2025","Trạm Y tế xã Phụng Thượng","Thôn 4, xã Phụng Thượng, Phúc Thọ","Nguyễn Phong Lưu","856945708.0","null","1","null","null"
"50","77/TB-TTYT","13/5/2025","Trạm Y tế xã Phúc Hoà","Thôn 1, xã Phúc Hoà, Phúc Thọ","Tạ Thị Lý","976945868.0","null","1","null","null"
"51","78/TB-TTYT","13/5/2025","Trạm Y tế xã Long Xuyên","Thôn Phù Long 1, xã Long Thượng, Phúc Thọ","Hà Thị Tú","916156766.0","null","1","null","null"
"52","79/TB-TTYT","13/5/2025","Trạm Y tế xã Trạch Mỹ Lộc","Thôn Thuần Mỹ, xã Trạch Mỹ Lộc, Phúc Thọ","Nguyễn Minh Tạo","977131304.0","null","1","null","null"
"53","80/TB-TTYT","13/5/2025","Trạm Y tế xã Thượng Cốc","Thôn Kim Lũ, xã Long Thượng, Phúc Thọ","Vương Thị Hợi","988017317.0","null","1","null","null"
"54","81/TB-TTYT","13/5/2025","Trạm Y tế xã Tích Giang","Thôn 3, xã Tích Lộc, Phúc Thọ","Nguyễn Thị Yên","973103280.0","null","1","null","null"
"55","82/TB-TTYT","13/5/2025","Trạm Y tế xã Tam Thuấn","Thôn Nội 1, xã Tam Thuấn, Phúc Thọ","Trần Đình Thân","982439467.0","null","1","null","null"
"56","83/TB-TTYT","13/5/2025","Trạm Y tế xã Sen Phương","Thôn 3, xã Sen Phương, Phúc Thọ","Nguyễn Văn Khoản","337321968.0","null","1","null","null"
"57","84/TB-TTYT","13/5/2025","Trạm Y tế Thị trấn Phúc Thọ","Tổ dân phố số 2, thị trấn Phúc Thọ, Phúc Thọ","Tô Xuân Sinh","982395808.0","null","1","null","null"
"58","85/TB-TTYT","13/5/2025","Trạm Y tế xã Xuân Đình","Thôn Cựu Lục, xã Xuân Đình, Phúc Thọ","Ngô Thị Kim Tuyến","974915026.0","null","1","null","null"
"59","86/TB-TTYT","13/5/2025","Trạm Y tế xã Vân Phúc","Thôn 3, xã Vân Phúc, Phúc Thọ","Dương Thế Vinh","382971678.0","null","1","null","null"
"60","87/TB-TTYT","13/5/2025","Trạm Y tế xã Vân Nam","Thôn 4, xã Vân Nam, Phúc Thọ","Hoàng Thị Mai Dung","338699081.0","null","1","null","null"
"61","88/TB-TTYT","13/5/2025","Trạm Y tế xã Vân Hà","Thôn Bãi Đồn, xã Nam Hà, Phúc Thọ","Trần Văn Đại","978441118.0","null","1","null","null"
"62","89/TB-TTYT","13/5/2025","Trạm Y tế xã Thọ Lộc","Thôn Thượng Lộc, xã Tích Lộc, Phúc Thọ","Khuất Thị Thu Nguyệt","987509873.0","null","1","null","null"
"63","90/TB-TTYT","13/5/2025","Phòng tiêm chủng dịch vụ TTYT huyện Phúc Thọ","TDP số 6, thị trấn Phúc Thọ, Phúc Thọ","Vương Trung Kiên","975645686.0","null","1","null","null"
"64","73/2025/TB/VNVC","19/5/2025","VNVC Thường Tín - Công ty CP Vacxin Việt Nam","số 112 đường Trần Lư, Thị trấn Thường Tín, Thường Tín","lê Thị Phương Anh","02438824666/0968977348","null","1","null","null"
"65","01/SUNNYCARE","20/5/2025","HKD dịch vụ Tiêm chủng SUNNYCARE - Quốc Oai","Thửa 39 lô DV2 khu đất dịch vụ CEO, xã Sài Sơn, Quốc Oai","Đinh Thị Yến","977555568.0","1","null","null","null"
"66","2104/2025/TB","21/4/2025.","Phòng khám đa khoa H Plus International Medical center trực thuộc công ty TNHH Y tế H Plus","TầnG 7 và tầng 8 Lotte Mall Hà Nội, 272 Võ Chí Công, Phú Thượng, Tây Hồ","Dương Chí Chung","967471667.0","null","1","null","null"
"67","1974/TB-BVQY103","8/5/2025.","Bệnh viện Quân Y 103","số 261 Phùng Hưng, Phúc La, Hà Đông","Lường Công Thức","967811616.0","null","1","null","null"
"68","01/HAAN","20/5/2025.","Phòng tiêm chủng vắc xin dịch vụ Hà An thuộc Công ty TNHH Vắc xin dịch vụ Hà An","ô 9 lô 6 Đền Lừ 1, Hoàng Văn Thụ, Hoàng Mai","Bùi Thanh Hải","977555566.0","null","1","null","null"
"69","02/2025-TCTV/TB","22/5/2025.","Trung tâm tiêm chủng vắc xin Tâm Việt - Địa điểm kinh doanh số 1 - Công ty TNHH Công nghệ và Dịch vụ Tâm Việt","Số 170-172, đường tỉnh lộ 419, thôn Đoan Nữ, xã An Mỹ, Mỹ Đức","Nguyễn Thị Phượng","359340950.0","1","null","null","null"
"70","480/TB-BVHN","21/5/2025.","Bệnh viện Hữu Nghị","Số 1 Trần Khánh Dư, phường Bạch Đằng","Nguyễn Thế Anh","2439722231.0","1","null","null","null"
"71","3033/TB-BM","22/5/2025.","Đơn vị tư vấn và tiêm chủng vắc xin, Viện Y học nhiệt đới Bạch Mai, Bệnh viện Bạch Mai","Số 78 Giải Phóng, Đống Đa","Đào Xuân Cơ","384190019.0","null","1","null","null"
"72","121/2025/VNVC-TB","12/5/2025.","VNVC Thạch Thất - Công ty CP Vacxin Việt Nam","Thôn 84 xã Kim Quan, Thạch Thất","Nguyễn Quang Huy","28.71026595","null","1","null","null"
"73","001/TNHH VXHN","28/5/2025.","Trung tâm tiêm chủng vacxin Hoàn Mỹ - Công ty TNHH vacxin Hà Nội","Xóm 1 Thụy Khuê Sài Sơn, Quốc Oai","Đào Thị Hiền","867953890.0","1","null","null","null"
"74","01/TB-HTP","05/6/2025","Trung tâm tiêm chủng vaccine TCVN - Trực thuộc công ty cổ phần dịch vụ y tế HTP Việt Nam","Sô 123 Tiểu khu Phú Mỹ, thị trấn Phú Xuyên, Phú Xuyên","Nguyễn Thị Thu","968518115.0","null","null","1","null"
"75","01/TB-NH","05/6/2025","Trung tâm tiêm chủng vắc xin và tư vấn dinh dưỡng Nam Hưng - Trực thuộc Công ty CP dược Nam Hưng","Sô 123 Tiểu khu Phú Mỹ, thị trấn Phú Xuyên, Phú Xuyên","Nguyễn Thị Thu","null","1","null","null","null"
"76","2922/TB-SYT","13/6/2025.","Trung tâm tiêm chủng Tokyo Vaccine Center - Công ty TNHH Wakasa Việt Nam","Lô T235, tầng 2, Trung tâm thương mại AEON MALL Hà Đông, phường Dương Nội, Hà Đông","null","null","null","null","1","null"
"77","01/2025/TC","13/06/2025.","Trung tâm tiêm chủng Tokyo Vaccine Center - Công ty TNHH Wakasa Việt Nam","Lô T235, tầng 2, Trung tâm thương mại AEON MALL Hà Đông, phường Dương Nội, Hà Đông","Nguyễn Tiến Đạt","867480633.0","1","null","null","null"
"78","03/TB-QM","10/06/2025.","Trung tâm tiêm chủng chất lượng cao SVC Sóc Sơn - Công ty TNHH Y tế và DVTM Quang Minh","Số nhà 15, Phố Mã, thôn Phù Mã xã Phù Linh, Sóc Sơn","Nguyễn Văn Tiến","865577785.0","1","null","null","null"
"79","1206/TB-SAKURA","12/06/2025","Phòng khám đa khoa SAKURA trực thuộc Công ty TNHH Liên kết Y tế Nhật Việt","Số 65 phố Trịnh Công Sơn phường Nhật Tân, Tây Hồ","Lê Thị Kim Thanh","363497881.0","null","1","null","null"
"80","2524/TB-FLC","10/06/2025.","Công ty Cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 31","Số 33 đường Tây Mỗ, Nam Từ Liêm","Nguyễn Bạch Điệp","0789154255/18006928","null","1","null","null"
"81","06/CV-VXHN","10/06/2025.","Trung tâm tiêm chủng HNVC Victory An Khánh thuộc Công ty cổ phần vắc xin Hà Nội","Kiot số 02 – Đơn nguyên 1- Toà nhà T2 – Chung cư Thăng Long Victory An Khánh, Hoài Đức","Nguyễn Viết Mạnh","921745867.0","null","1","null","null"
"82","85/2025/TB-VNVC","18/06/2025.","Địa điểm kinh doanh VNVC Ba Vì – Công ty cổ phần vacxin Việt Nam","Số 532 Phố Nả, thôn Vĩnh Phệ, xã Chu Minh, Ba Vì","Nguyễn Danh Phương","0287102659/0373886886","1","null","null","null"
"83","102/2025/TB-VNVC","19/06/2025.","Địa điểm kinh doanh VNVC Ứng Hòa– Công ty cổ phần vacxin Việt Nam","Số 61 thôn Thanh Ấm, thị trấn Vân Đình, Ứng Hòa","Nguyễn Văn Khương","02422463595/0918244744","1","null","null","null"
"84","2525/TB-FLC","16/06/2025.","Công ty CP Dược phẩm FPT Long Châu-Địa điểm kinh doanh Trung tâm Tiêm chủng Long Châu 219","Số 137 Lạc Long Quân, phường Nghĩa Đô, Cầu Giấy","Nguyễn Bạch Điệp","18006928 0789154255","1","null","null","null"
"85","2527/TB-FLC","23/06/2025.","Công ty CP Dược phẩm FPT Long Châu-Địa điểm kinh doanh Trung tâm Tiêm chủng Long Châu 218","SH0104-SH0204, tòa Park 7, KĐT Vinhomes Time City Park Hill, số 25 ngõ 13, đường Lĩnh Nam, phường Mai Động, Hoàng Mai","Nguyễn Bạch Điệp","18006928 0789154255","1","null","null","null"
"86","01/TB","25/06/2025.","Trung tâm tiêm chủng vắc xin Gia Lâm trực thuộc Công ty TNHH TM và DV Y tế Thuận An","Số 270 đường Ỷ Lan, xã Đặng Xá, Gia Lâm","Nguyễn Thị Phương Lâm","098388860/ 0363651133","1","null","null","null"
"87","02/TB-YV","25/06/2025.","Phòng tiêm chủng vắc xin Việt Đức – Yên Viên trực thuộc Công ty Cổ phần vắc - xin Bắc Ninh","Số 660 Hà Huy Tập, xã Yên Viên, Gia Lâm","Hoàng Thị Tuyền","912092659.0","1","null","null","null"
"88","2530/TB-FLC","25/06/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 217","Tầng 1 toà CT7G, Khu đô thị mới Dương Nội, phường Dương Nội, Hà Đông","Nguyễn Bạch Điệp","18006928 0789154255","1","null","null","null"
"89","01/TB-TCHL","26/06/2025","Trung tâm tiêm chủng Hoà Lạc trực thuộc Công ty Cổ phần thương mại và dịch vụ y tế Hoà Lạc","Thôn 4, xã Thạch Hoà, Thạch Thất","Đỗ Phương Đông","988750589.0","1","null","null","null"
"90","05/TB-QM","27/6/2025","Địa điểm kinh doanh: Trung tâm tiêm chủng chất lượng cao SVC Hồng Kỳ - Công ty TNHH Y tế và DVTM Quang Minh","Số 190 đường 35 thôn Đồng Thố, xã Hồng Kỳ, Sóc Sơn","Phạm Thị Minh","986695072.0","1","null","null","null"
"91","01/TB-TTTC","18/6/2025 (Sở Y tế nhận ngày 27/6/2025)","Trung tâm tiêm chủng chất lượng cao Sóc Sơn – SVC","số nhà 15 phố Mã, xã Phù Linh, Sóc Sơn","Nguyễn Văn Tiến","865577785.0","null","null","1","null"
"92","'02/TB-QM","27/6/2025.","Trung tâm tiêm chủng SVC - Hồng Kỳ","Số 190 đường 35 thôn Đồng Thố, xã Hồng Kỳ, Sóc Sơn","Võ Thị Ngọc","986695072.0","null","null","1","Chuyển hình thức kinh doanh từ HKD sang Công ty, đổi tên cơ sở"
"93","16/CV-GNVN","02/7/2025.","Công ty TNHH Dịch vụ Gia Nguyên Việt Nam – cơ sở kinh doanh số 1","Số 68A khu Bắc Sơn, thị trấn Chúc Sơn, huyện Chương Mỹ - nay là số 86A khu Bắc Sơn - phường Cương Mỹ","null","399654663.0","null","null","1","Ngừng hoạt động từ 10/7/2025"
"94","1017/TB-BVĐKĐA","02/7/2025.","Bệnh viện đa khoa Đông Anh","Tổ 1 – xã Đông Anh","Đinh Thị Hồng Hoa","904686599.0","null","1","null","null"
"95","03/VĐ-CV","27/6/2025 (ngày SYT tiếp nhận 02/7/2025)","Hộ Kinh doanh Trung tâm tiêm chủng Gia Lâm","Địa chỉ công bố cũ: Số 606 Tổ dân phố Toàn Thắng, Lệ Chi, Gia Lâm","Vũ Hải Hà","0363.651.133","null","null","1","null"
"96","14/TTr- VHN2025","07/7/2025 (ngày SYT tiếp nhận 09/7/2025)","Công ty CPDV Tiêm chủng Hà Nội - Cơ sở số 19- VHN CARE Sinh Đức","Nhà ông Nguyễn Sinh Hoa, tầng 3, số nhà 16, đường 419 khu phú Săn, thị trấn Liên Quan, Thạch Thất","Đào Văn Thưởng","989891321.0","null","1","null","null"
"97","416/TB- FLC","01/7/2025 (ngày SYT tiếp nhận 09/7/2025)","Công ty CP Dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 05","Địa chỉ công bố cũ: Tầng 2 +3 số 129 đường Lạc Long Quân, Tổ 6, phường Nghĩa Đô, quận Cầu Giấy","Nguyễn Bạch Điệp","180062928/ 0775.888.024","null","null","1","null"
"98","07/2025","04/7/2025 (ngày SYT tiếp nhận 08/7/2025)","Phòng tiêm chủng MEDIVAC","Địa chỉ công bố cũ: SH07, toà nhà 05, Ecohome 3, phường Đông Ngạc, Bắc Từ Liêm","Vũ Thị Duyên","912771819.0","null","null","1","null"
"99","01/TB-MV","08/7/2025.","Công ty Cổ phần Y học MediVac VN","SH07, toà nhà 05, Ecohome 3, phường Đông Ngạc","Nguyễn Hải Đăng","0818002256/ 0912771819","1","null","null","null"
"100","08/2025/TB -PT","25/6/2025 (ngày SYT tiếp nhận 16/7/25)","Trung tâm tiêm chủng dịch vụ VHN Care Hà Đông thuộc Công ty cổ phần dịch vụ tiêm chủng Hà Nội","Tầng 1, số nhà LK4-3, Khu đô thị mới Văn Khê, phường La Khê, quận Hà Đông","Nguyễn Hữu Thủy","989891321.0","1","null","null","null"
"101","01/TB-TYT","10/7/2025 (ngày SYT tiếp nhận 15/7/25)","Trạm Y tế xã Phù Đổng","515 Hà Huy Tập, xã Phù Đổng","Phạm Thị Minh Phương","0888.101.975","1","null","null","null"
"102","10/TB-TYT của Trạm Y tế Quốc Oai","14/7/2025.","Điểm Y tế Du Nghệ","TDP Du Nghệ, xã Quốc Oai","Vũ Danh Tài","0973.433.283","1","null","null","null"
"102","10/TB-TYT của Trạm Y tế Quốc Oai","14/7/2025.","Điểm Y tế Thạch Thán","Thôn 1, xã Quốc Oai","Nguyễn Thị Phương Hiền","0972.922.425","1","null","null","null"
"102","10/TB-TYT của Trạm Y tế Quốc Oai","14/7/2025.","Điểm Y tế Sài Sơn","Thôn Sài Khê, xã Quốc Oai","Kiều Doãn Nghĩa","0869.527.401","1","null","null","null"
"102","10/TB-TYT của Trạm Y tế Quốc Oai","14/7/2025.","Điểm Y tế Phượng Sơn","Thôn Sơn Trung, xã Quốc Oai","Nguyễn Quang Vinh","0869.527.403","1","null","null","null"
"102","10/TB-TYT của Trạm Y tế Quốc Oai","14/7/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế Quốc Oai","Số 68A khu Bắc Sơn, thị trấn Chúc Sơn, huyện Chương Mỹ - nay là số 86A khu Bắc Sơn - phường Chương Mỹ","Đinh Thị Thanh","0978.682.839","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Trạm Y tế Xã Đông Anh","Thôn Đàn Dị - xã Đông Anh - Thành phố Hà Nội","Trương Thị Hằng","0982.418.575","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Cổ Loa","Xóm Hương - xã Cổ Loa - Thành phố Hà Nội","Đồng Đạo Khánh","0982.240.767","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Đông Hội","Thôn Hội Phụ - xã Đông Anh - Thành phố Hà Nội","Lưu Đức Hướng","0986.312.946","1","null","null","null"
