SoTT;NamPhatHanh;So;DangTaiLieu;NgonNguTaiLieu;TenTaiLieu;TacGia;TenNguonTrich;DuLieuNguonTrich;DacTrungSoLuong;PhuChuTaiLieu;ISSNISBN;DeMuc;TuKhoa;TuKhoaPhu;TuKhoaChuaKiemSoat;TuKhoaDiaLy;TuKhoaSinhHoc;TomTatTiengViet;TomTatTiengAnh;KyHieuKhoa;NoiDung;NhanDeDichTAnh;NguonTrichLaKyYeu,TapChi;DiemTapChi;LinhVucKHCN;TuKhoaTAnh;TomTatTAnh
11;2016;DB;BB;Vie;Thực trạng và đề xuất giải pháp phát triển phong trào tập luyện môn cờ tướng tại trường Đại học Thể dục thể thao Bắc Ninh;"Bùi Ngọc; Trần Văn Trường; Đàm Công Tùng";Khoa học Đào tạo Thể dục thể thao;;128-132;;1859-4417;77.29;"Thể dục thể thao; Cờ tướng; Phong trào Cờ Tướng; Tập luyện";;;;;Trên cơ sở đánh giá thực trạng và những điều kiện thuận lợi, khó khăn trong phát triển môn Cờ Tướng tại trường Đại học TDTT Bắc Ninh, đề xuất những giải pháp phát triển phong trào tập luyện môn Cờ Tướng Trường Đại học TDTT Bắc Ninh;;TTKHCNQG, CVv435;;;;;;;
12;2016;DB;BB;Vie;Nghiên cứu đề xuất một số giải pháp nâng cao chất lượng công tác đào tạo huấn luyện viên Karatedo Thành phố Hồ Chí Minh;"Nguyễn Khánh Duy; Phạm Thế Hải; Vũ Việt Bảo";Khoa học Đào tạo Thể dục thể thao;;133-137;;1859-4417;77.29.14;"Ma trận SWOT; Giải pháp; Đào tạo; Huấn luyện viên; Thành Phố Hồ Chí Minh";;;;;Việc nâng cao chất lượng công tác đào tạo HLV tại TP.HCM có cơ sở khoa học, hợp lý phải dựa vào đặc điểm đội ngũ HLV, cơ sở vật chất, nguyện vọng cá nhân để xác định cho việc triển khai một số giải pháo đạt hiệu quả. Qua khảo sát thực trạng HLV Karatedo trên địa bàn TP.Hồ Chí Minh để làm cơ sở cho việc cải tiến chương trình đào tạo HLV và từng bước phát triển phong trào Karatedo sâu rộng, nhằm nâng cao chất lượng quản lý, huấn luyện của HLV.;;TTKHCNQG, CVv435;;;;;;;
13;2016;DB;BB;Vie;Một số kết quả nghiên cứu về mục đích tham gia tập luyện thể dục thể thao và ưu tiên các hoạt động trong thời gian nhàn rỗi của người dân ở thị xã Từ Sơn, Bắc Ninh;Nguyễn Thu Hường;Khoa học Đào tạo Thể dục thể thao;;138-142;;1859-4417;04.51;"Mục đích; Tập luyện; Thời gian nhàn rỗi; Thị trường; Dịch vụ; Thể thao; Từ Sơn; Bắc Ninh";;;;;Bài báo tập trung làm rõ về mục đích tham gia tập luyện thể thao và ưu tiên các hoạt động trong thời gian nhàn rỗi của người dân thị xã Từ Sơn tỉnh Bắc Ninh. Đây là những tham số cơ bản đóng vai trò trò chủ đạo trong sự lựa chọn các dịch vụ thể thao.;;TTKHCNQG, CVv435;;;;;;;
14;2016;DB;BB;Vie;Xác định tiêu chuẩn và tiêu chí đánh giá chương trình môn học âm nhạc vũ đạo cho sinh viên trường Đại học Thể dục thể thao Bắc Ninh;"Nguyễn Kim Xuân; Nguyễn Hữu Hùng";Khoa học Đào tạo Thể dục thể thao;;143-147;;1859-4417;14.35.18;"Chương trình âm nhạc vũ điệu; Sinh viên; Đại học Thể dục thể thao Bắc Ninh; Tiêu chuẩn; Tiêu chí đánh giá";;;;;Kết quả đánh giá thực trạng đổi mới chương trình môn học Âm nhạc vũ đạo qua việc xác định bộ tiêu chuẩn đánh giá của đối tượng nghiên cứu, sử dụng phương pháp chuyên gia Dephi và các phương pháp nghiên cứu khoa học thường quy qua đó xác định bộ tiêu chuẩn và lựa chọn các tiêu chí phù hợp đánh giá chương trình môn học ÂNVĐ cho sinh viên trường Đại học Thể dục thể thao Bắc Ninh;;TTKHCNQG, CVv435;;;;;;;
15;2016;DB;BB;Vie;Lựa chọn giải pháp phát triển phong trào tập luyện môn cầu lông cho học sinh trung học cơ sở Thành phố Hà Tĩnh;Nguyễn Anh Hải;Khoa học Đào tạo Thể dục thể thao;;148-152;;1859-4417;14.25;"Nhóm giải pháp; Phong trào; Tập luyện; Môn cầu lông; Học sinh THCS; Thành phố Hà Tĩnh";;;;;Sử dụng các phương pháp nghiên cứu khoa học thường quy lựa chọn được 03 nhóm giải pháp phát triển phong trào tập luyện môn cầu lông cho học sinh THCS - Thành phố Hà Tĩnh. Bước đầu ứng dụng nhóm giải pháp lựa chọn trong thực tế, kết quả ứng dụng các nhóm giải pháp đã lựa chọn phát huy hiệu quả cao trong việc nâng cao thể lực cho đối tượng nghiên cứu.;;TTKHCNQG, CVv435;;;;;;;
16;2016;DB;BB;Vie;Cơ hội và thách thức và giải pháp nâng cao năng lực giảng viên khoa thể dục thể thao, Trường Đại học Sư phạm Thái Nguyên đáp ứng yêu cầu đổi mới căn bản và toàn diện giáo dục;Hà Quang Tiến;Khoa học Đào tạo Thể dục thể thao;;153-159;;1859-4417;14.35.21;"Năng lực giảng viên; Thể dục thể thao; Cơ hội; Thách thức; Giải pháp";;;;;Sử dụng các phương pháp nghiên cứu khoa học thường quy, đề tài tiến hành nghiên cứu thực trạng năng lực đội ngũ giảng viên khoa Thể dục thể thao, Trường Đại học Sư phạm Thái Nguyên cùng những cơ hội và thách thức đối với họ trong bối cảnh đổi mới căn bản và toàn diện giáo dục. Từ đó đề xuất các giải pháp nhằm nâng cao năng lực cho giáo viên đáp ứng yêu cầu của đổi mới giáo dục hiện nay.;;TTKHCNQG, CVv435;;;;;;;
17;2016;DB;BB;Vie;Đánh giá hiệu quả chương trình thể thao nâng cao cho sinh viên đại học Thái Nguyên;Đỗ Ngọc Cương;Khoa học Đào tạo Thể dục thể thao;;160-165;;1859-4417;14.35.18;"Đánh giá hiệu quả; Trình độ thể thao; Nghiệp vụ thể thao; Sự hài lòng; Đại học Thái Nguyên";;;;;Chương trình Thể thao nâng cao được xây dựng nhằm bồi dưỡng nâng cao năng lực thể thao cho những sinh viên yêu thích và có năng khiếu thể thao. Nội dung của chương trình theo hướng nâng cao năng lực thi đấu và trang bị nghiệp vụ thể thao cấp cơ sở. Chương trình được thực nghiệm trên nhóm Bóng chuyền nâng cao và Bóng đá nâng cao tại Trường Đại học Sư phạm - Đại học Thái Nguyên. Hiệu quả bước đầu của chương trình TTNC được đánh giá qua sự phát triển các năng lực thể thao của sinh viên và mức độ hài lòng, hứng thú của sinh viên về chương trình.;;TTKHCNQG, CVv435;;;;;;;
18;2016;DB;BB;Vie;Tác động của Internet đối với sinh viên trường Đại học Thể dục thể thao Thành phố Hồ Chí Minh;Nguyễn Hoàng Minh Thuận;Khoa học Đào tạo Thể dục thể thao;;166-171;;1859-4417;14.35;"Tác động; Internet; Sinh viên; Trường Đại học TDTT Thành phố Hồ Chí Minh";;;;;Sử dụng các phương pháp nghiên cứu khoa học thường quy lựa chọn được 20 tiêu chí thuộc 2 nhóm tiêu chuẩn đánh giá tác động tích cực (12 tiêu chí) và tác động tiêu cực (8 tiêu chí) của Internet tới sinh viên Trường Đại học TDTT Thành phố Hồ Chí Minh. Trên cơ sở đó, đánh giá tác động của Internet tới sinh viên Nhà trường. Kết quả cho thấy, sinh viên bị ảnh hưởng tiêu cực bởi Internet chiếm tỷ lệ cao hơn.;;TTKHCNQG, CVv435;;;;;;;
19;2016;DB;BB;Vie;Thực trạng và định hướng nội dung hoạt động thể dục thể thao ngoại khóa cho học sinh trung học cơ sở miền núi phía Bắc Việt Nam;"Nguyễn Đại Dương; Đinh Quang Ngọc";Khoa học Đào tạo Thể dục thể thao;;173-176;;1859-4417;14.25;"Thể dục thể thao ngoại khóa; Thể lực cho học sinh; Trung học cơ sở; Môn thể thao";;;;;Nghiên cứu thực trạng mức độ tham gia tập luyện thể dục thể thao ngoại khóa, các nội dung, hình thức tổ chức hoạt động ngoại khóa của học sinh THCS miền núi phía Bắc Việt Nam, trên cơ sở đó, kiểm chứng mối liên hệ giữa các thành tố phản ánh thực trạng hoạt động ngoại khóa với thực trạng phát triển thể lực của học sinh, đồng thời đề xuất định hướng nội dung đưa vào chương trình TDTT ngoại khóa cho học sinh THCS miền núi phía Bắc Việt Nam.;;TTKHCNQG, CVv435;;;;;;;
20;2016;DB;BB;Vie;Mức độ hài lòng của sinh viên về hoạt động đào tạo của khoa thể dục thể thao trường Đại học sư phạm Thái Nguyên;"Hà Quang Tiến; Nguyễn Thị Hà";Khoa học Đào tạo Thể dục thể thao;;177-182;;1859-4417;14.35;"Sinh viên; Mức độ hài lòng; Hoạt động đào tạo; Chương trình đào tạo; Khoa Thể dục thể thao; Trường đại học Sư phạm Thái Nguyên";;;;;"Kết quả nghiên cứu đã chỉ ra mức độ hài lòng của sinh viên tập trung vào 6 yếu tố, đó là: Chương trình môn học; năng lực của giảng viên; Sự quan tâm của giảng viên đối với sinh viên; Cơ sở vật chất; Dịch vụ hỗ trợ học tập; Chất lượng đào tạo. Nhìn chung, sinh viên khoa TDTT cơ bản hài lòng với chất lượng đào tạo của nhà trường.";;TTKHCNQG, CVv435;;;;;;;
21;2016;DB;BB;Vie;Đánh giá thực trạng mức độ đáp ứng nhu cầu xã hội của chương trình tập luyên Karate-do ngoại khóa cho học sinh THCS thành phố Hà Nội;"Vũ Chung Thủy; Mai Thị Bích Ngọc";Khoa học Đào tạo Thể dục thể thao;;183-188;;1859-4417;14.15.31;"Thực trạng; Chương trình; Mức độ đáp ứng; Nhu cầu xã hội; Tập luyện ngoại khóa; Karate-do; Trung học cơ sở; Thành phố Hà Nội";;;;;Sử dụng phương pháp tham khảo tài liệu, phỏng vấn, điều tra xã hội học và phương pháp toán học thống kê đánh giá thực trạng chương trình tập luyện ngoại khóa môn Karate-do cho học sinh THCS Thành phố Hà Nội, đồng thời lựa chọn tiêu chí đánh giá nhu cầu xã hội của chương trình tập luyện Karate-do ngoại khóa, trên có sở đó, đánh giá thực trạng mức độ đáp ứng nhu cầu xã hội của chương trình tập luyện Karate-do ngoại khóa do học sinh THCS TP.Hà Nội.;;TTKHCNQG, CVv435;;;;;;;
22;2016;DB;BB;Vie;Thực trạng giá trị nghệ thuật bài biểu diễn thể dục Aerobic của sinh viên chuyên ngành thể dục trường Đại học Thể dục Thể thao Bắc Ninh qua đánh giá chuỗi kỹ thuật AMP;"Nguyễn Hữu Hùng; Vũ Thị Mai Phương; Đặng Thị Thu Thủy";Khoa học Đào tạo Thể dục thể thao;;189-192;;1859-4417;14.35.18;"Chuỗi AMP; Sinh viên; Chuyên ngành Thể dục; Thể dục Aerobic; Trường Đại học TDTT";;;;;Sử dụng giá trị nghệ thuật bài biểu diễn thể dục Aerobic qua luật thi đấu môn Thể dục Aerobic giai đoạn 2013-2016 để đánh giá giá trị nghệ thuật bài biểu diễn Thể dục Aerobic thông qua đánh giá chuỗi kỹ thuật AMP của sinh viên chuyên ngành Thể dục, Trường đại học Thể dục thể thao Bắc Ninh. Kết quả cho thấy, việc khai thác triệt để giá trị kỹ thuật chuỗi AMP nhằm nâng cao giá trị nghệ thuật bài biểu diễn Thể dục Aerobic cho sinh viên chưa được quan tâm thích đáng.;;TTKHCNQG, CVv435;;;;;;;
23;2016;DB;BB;Vie;;;Khoa học Đào tạo Thể dục thể thao;;;;1859-4417;;;;;;;;;TTKHCNQG, CVv435;;;;;;;
24;2016;DB;BB;Vie;Nghiên cứu thực trạng công tác giáo dục thể chất tại trường trung học phổ thông Thuận Thành II. tỉnh Bắc Ninh;"Nguyễn Đình Chung; Cao Đình Chấn";Khoa học Đào tạo Thể dục thể thao;;198-202;;1859-4417;14.25;"Thực trạng; Giáo dục thể chất; Học sinh; THPT Thuận Thành II; Tỉnh Bắc Ninh";;;;;"Sử dụng các phương pháp nghiên cứu khoa học thường quy đánh giá thực trạng công tác GDTC của học sinh trường THPT Thuận Thành II, tỉnh Bắc Ninh trên các mặt: thực trạng chương trình môn học; đội ngũ giáo viên GDTC; Cơ sở vật chất; Thực trạng phong trào TDTT ngoại khóa cũng như thực trạng kết quả GDTC của học sinh Trường THPT Thuận Thành II.";;TTKHCNQG, CVv435;;;;;;;
25;2016;DB;BB;Vie;ứng dụng phương pháp dạy học bằng sơ đồ đối với môn học lý luận và phương pháp giáo dục thể chất cho sinh viên đại học khóa 49, trường Đại học Thể dục Thể thao Bắc Ninh;"Nguyễn Thị Phương Oanh; Đồng Văn Triệu";Khoa học Đào tạo Thể dục thể thao;;203-207;;1859-4417;14.35.18;"Phương pháp dạy học; Sơ đồ; Lý luận; Phương pháp giáo dục thể chất";;;;;Đề tài đã xây dựng quy trình ứng dụng phương pháp dạy học bằng sơ đồ môn học Lý luận và phương pháp giáo dục thể chất, trên cơ sở đó, tiến hành ứng dụng 13 giáo án trong quá trình dạy học cho sinh viên đại học khóa 49 trường Đại học TDTT Bắc Ninh.;;TTKHCNQG, CVv435;;;;;;;
26;2016;DB;BB;Vie;Xây dựng tiêu chuẩn đánh giá trình độ thể lực của nam sinh viên chuyên sâu pencak silat năm thứ 2, ngành giáo dục thể chất, trường Đại học Thể dục thể thao Bắc Ninh.;Lý Đức Trường;Khoa học Đào tạo Thể dục thể thao;;208-210;;1859-4417;77.29.14;"Tiêu chuẩn; Trình độ tập luyện; Thể lực; Nam sinh viên; Pencak Silat; Trường Đại học Thể dục Thể thao Bắc Ninh";;;;;"Đánh giá trình độ thể lực của nam sinh viên chuyên sâu Pencak silat năm thứ 2 Ngành Giáo dục thể chất, trường Đại học Thể dục Thể thao Bắc Ninh qua các giai đoạn huấn luyện là việc làm cần thiết; kết quả nghiên cứu đã lựa chọn được chỉ tiêu đánh giá trình độ thể lực của nam sinh viên chuyên sâu Pencak silat năm thứ 2 Ngành giáo dục thể chất, trường Đại học Thể dục thể thao Bắc Ninh, đồng thời xây dựng tiêu chuẩn đánh giá trình độ thể lực của sinh viên.";;TTKHCNQG, CVv435;;;;;;;
27;2016;DB;BB;Vie;Lựa chọn bài tập phát triển sức mạnh cho nam sinh viên bóng chuyền trường Đại học Bách khoa Hà Nội;Nguyễn Long Giang;Khoa học Đào tạo Thể dục thể thao;;211-213;;1859-4417;77.29.21;"Bài tập; Sức mạnh; Bóng chuyền; Nam sinh viên; Đại học Bách khoa Hà Nội";;;;;"Thông qua sử dụng các phương pháp nghiên cứu: Phân tích và tổng hợp tài liệu, phỏng vấn kiểm tra sư phạm, toán học thống kê, lựa chọn được 19 bài tập phát triển sức mạnh cho nam sinh viên Bóng chuyền Trường Đại học Bách khoa Hà Nội gồm 2 nhóm: Các bài tập phát triển sức mạnh chung (9 bài tập); Các bài tập sức mạnh chuyên môn và 5 test đánh giá sức mạnh của nam sinh viên Bóng chuyền trường Đại học Bách khoa Hà Nội.";;TTKHCNQG, CVv435;;;;;;;
28;2016;DB;BB;Vie;Xây dựng tiêu chuẩn đánh giá kết quả học tập thực hành theo các học phần trong quá trình đào tạo sinh viên ngành huấn luyện thể thao chuyên ngành bóng chuyền tại trường Đại học thể dục thể thao Bắc Ninh;Phạm Thế Vượng;Khoa học Đào tạo Thể dục thể thao;;216-220;;1859-4417;77.29.21;"Tiêu chuẩn; Kiểm tra; Đánh giá kết quả; Học phần";;;;;Xây dựng tiêu chuẩn đánh giá kết quả học tập thực hành theo các học phần phù hợp với thực tiễn khách quan với đối tượng sinh viên Bóng chuyền chuyên ngành Huấn luyện thể thao cho phép đánh giá chất lượng công tác giảng dạy và đồng thời việc đánh giá đúng năng lực sẽ thúc đẩy ý thức, tính tự giác tích cực, kích thích sự hứng thú học tập của sinh viên, từ đó nâng cao hiệu quả đào tạo, đáp ứng mục tiêu nâng cao chất lượng đào tạo của Nhà trường.;;TTKHCNQG, CVv435;;;;;;;
29;2016;DB;BB;Vie;Thực trạng dạy và học môn xã hội học thể dục thể thao ngành quản lý thể dục thể thao trường Đại học Thể dục thể thao Bắc Ninh;Nguyễn Thị Xuân Phương;Khoa học Đào tạo Thể dục thể thao;;221-224;;1859-4417;04.51.71;"Thực trạng; Môn Xã hội học Thể dục thể thao; Ngành quản lý Thể dục thể thao; Sinh viên";;;;;Bằng các phương pháp nghiên cứu khoa học thường quy đề tài đã điều tra, mô tả được thực trạng dạy và học môn Xã hội học Thể dục thể thao cho sinh viên ngành Quản lý TDTT Trường Đại học TDTT Bắc Ninh trên các phương diện:  Người dạy, người học, kết quả học tập. Kết quả cho thấy, thực trạng dạy và học môn Xã hội hịc TDTT cho sinh viên ngành Quản lý TDTT còn nhiều bất cập như: Không có người dạy chuyên trách, chương trình - nội dung giảng dạy còn sơ sài, phương pháp giảng dạy còn đơn điệu, kết quả thi kết thúc môn còn chưa khả quan.;;TTKHCNQG, CVv435;;;;;;;
30;2016;DB;BB;Vie;Lựa chọn và đánh giá hiệu quả các bài tập trên giàn máy nautilus nhằm phát triển sức mạnh tay ném cho sinh viên đội tuyển bóng ném trường Đại học Thể dục Thể thao Bắc Ninh.;Nguyễn Xuân Trãi;Khoa học Đào tạo Thể dục thể thao;;225-230;;1859-4417;77.29.48;"Bài tập sức mạnh; Thiết bị Nautilus; Sức mạnh tay ném; Đội tuyển sinh viên; Bóng ném";;;;;Nghiên cứu lựa chọn được các bài tập trên giàn máy Nautinus đánh giá sức mạnh tay ném cho Nam sinh viên Đội tuyển Bóng ném đội tuyển Trường Đại học Thể dục thể thao Bắc Ninh khoa học, hợp lý phù hợp với đối tượng. Qua thực nghiệm cho thấy sức mạnh tay ném của nam sinh viên đội tuyển Bóng ném Trường Đại học TDTT Bắc Ninh tốt hơn hẳn, sự khác biệt sau thực nghiệm đều đạt độ tin cậy thống kê cần thiết với P0.05. Qua đó góp phần nâng cao thành tích thi đấu của nam sinh viên Đội tuyển Bóng ném Trường Đại học TDTT Bắc Ninh.;;TTKHCNQG, CVv435;;;;;;;
31;2016;DB;BB;Vie;Lựa chọn biện pháp nâng cao chất lượng học tập môn thể thao tự chọn bóng bàn cho nam sinh viên trường Đại học Bách khoa Hà Nội;Nguyễn Trọng Tài;Khoa học Đào tạo Thể dục thể thao;;231-236;;1859-4417;77.29.31;"TDTT ngoại khóa; Thể lực; Sinh viên; Thể thao tự chọn; Bóng bàn; Trường Đại học Bách khoa Hà Nội";;;;;Sử dụng các phương pháp nghiên cứu khoa học thường quy lựa chọn được 5 biện pháp nhằm nâng cao chất lượng học tập môn thể thao tự chọn Bóng bàn cho nam sinh viên trường Đại học Bách khoa Hà Nội. Bước đầu ứng dụng các biện pháo lựa chọn trong thực tế đã cho thấy hiệu quả thiết thực trong việc nâng cao thể lực cho đối tượng thực nghiệm.;;TTKHCNQG, CVv435;;;;;;;
